date,code,name,weight
2018-11-29,600280,中央商场,0.07
2018-11-29,600282,南钢股份,0.25
2018-11-29,600291,西水股份,0.25
2018-11-29,600292,远达环保,0.07
2018-11-29,600298,安琪酵母,0.39
2018-11-29,600300,维维股份,0.12
2018-11-29,600307,酒钢宏兴,0.21
2018-11-29,600312,平高电气,0.22
2018-11-29,600315,上海家化,0.3
2018-11-29,600316,洪都航空,0.15
2018-11-29,600317,营口港,0.17
2018-11-29,600325,华发股份,0.35
2018-11-29,600329,中新药业,0.13
2018-11-29,600335,国机汽车,0.09
2018-11-29,600338,西藏珠峰,0.14
2018-11-29,600348,阳泉煤业,0.22
2018-11-29,600350,山东高速,0.1
2018-11-29,600366,宁波韵升,0.13
2018-11-29,600380,健康元,0.27
2018-11-29,600388,龙净环保,0.25
2018-11-29,600392,盛和资源,0.33
2018-11-29,600393,粤泰股份,0.08
2018-11-29,600395,盘江股份,0.12
2018-11-29,600409,三友化工,0.21
2018-11-29,600410,华胜天成,0.23
2018-11-29,600416,湘电股份,0.13
2018-11-29,600418,江淮汽车,0.23
2018-11-29,600422,昆药集团,0.14
2018-11-29,600426,华鲁恒升,0.48
2018-11-29,600428,中远海特,0.1
2018-11-29,600435,北方导航,0.23
2018-11-29,600458,时代新材,0.1
2018-11-29,600460,士兰微,0.24
2018-11-29,600466,蓝光发展,0.21
2018-11-29,600478,科力远,0.14
2018-11-29,600481,双良节能,0.1
2018-11-29,600499,科达洁能,0.2
2018-11-29,600500,中化国际,0.23
2018-11-29,600503,华丽家族,0.19
2018-11-29,600511,国药股份,0.28
2018-11-29,600517,置信电气,0.08
2018-11-29,600521,华海药业,0.34
2018-11-29,600525,长园集团,0.28
2018-11-29,600528,中铁工业,0.37
2018-11-29,600536,中国软件,0.24
2018-11-29,600545,卓郎智能,0.15
2018-11-29,600557,康缘药业,0.16
2018-11-29,600563,法拉电子,0.18
2018-11-29,600565,迪马股份,0.14
2018-11-29,600572,康恩贝,0.27
2018-11-29,600575,皖江物流,0.16
2018-11-29,600578,京能电力,0.14
2018-11-29,600580,卧龙电气,0.14
2018-11-29,600582,天地科技,0.21
