BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
4185.66,1,蜘蛛侠：平行宇宙,34.67,2,8663.70,2018-12-22 16:11:01
3580.43,2,海王,29.66,16,151579.22,2018-12-22 16:11:01
1452.08,3,天气预爆,12.03,2,5261.83,2018-12-22 16:11:01
1082.91,4,武林怪兽,8.97,2,2732.76,2018-12-22 16:11:01
683.90,5,龙猫,5.66,9,12473.17,2018-12-22 16:11:01
545.23,6,叶问外传：张天志,4.52,2,1555.89,2018-12-22 16:11:01
106.90,7,印度合伙人,0.89,9,5723.31,2018-12-22 16:11:01
102.27,8,绿毛怪格林奇,0.85,9,2253.59,2018-12-22 16:11:01
51.66,9,狗十三,0.43,16,4676.45,2018-12-22 16:11:01
48.28,10,网络谜踪,0.40,9,2705.06,2018-12-22 16:11:01
233.60,11,其它,1.00,0,0.00,2018-12-22 16:11:01
