code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-0.79,2526.5535,2536.2675,2516.2506,2527.4214,2498.6937,115671200,1013.6062
000002,Ａ股指数,-0.79,2645.5276,2655.7289,2634.7989,2646.4474,2616.3582,115472773,1012.3352
000003,Ｂ股指数,-1.15,276.2807,276.3341,273.145,276.2807,273.0276,198427,1.271
000008,综合指数,-0.87,2423.6365,2434.2261,2413.0713,2424.8368,2393.3199,30520532,268.9081
000009,上证380,-0.83,3932.3335,3944.1341,3911.5767,3939.8375,3886.999,24973001,204.3671
000010,上证180,-1.04,6892.6834,6918.1071,6846.1136,6898.037,6797.5056,45634511,502.8392
000011,基金指数,-0.46,5541.294,5546.6451,5521.2608,5543.1928,5504.186,47424325,365.7192
000012,国债指数,-0.0,169.5675,169.5506,169.5476,169.575,169.5386,623450,6.3132
000016,上证50,-1.23,2325.9784,2334.9217,2306.1451,2327.4365,2288.4047,24752807,312.7896
000017,新综指,-0.79,2133.0455,2141.2709,2124.3987,2133.7875,2109.5277,115462210,1012.1657
000300,沪深300,-1.24,3055.3258,3067.4169,3029.3951,3057.4007,3007.6096,76758101,848.2406
000905,中证500,-0.67,4246.4287,4259.7614,4231.144,4260.289,4204.486,47110425,353.748
399001,深证成指,-1.2,7399.147,7426.441,7337.598000000001,7405.272,7283.7609999999995,15982013807,1348.9023
399002,深成指R,-1.2,8945.364,8978.360999999999,8870.952,8952.769,8805.864,7226705591,678.0226
399003,成份Ｂ指,-1.64,4347.137,4355.226,4284.008,4348.6140000000005,4262.027,6886837,0.3013
399004,深证100R,-1.67,3877.265,3894.429,3829.2509999999997,3879.347,3801.192,3054186027,341.4267
399005,中小板指,-1.58,4820.31,4846.329000000001,4769.657999999999,4829.146,4733.455,2128269332,224.4269
399006,创业板指,-0.61,1274.04,1278.157,1270.3039999999999,1279.495,1259.813,1007403692,131.8616
399008,中小300,-1.2,948.1560000000001,952.145,940.709,949.8439999999999,933.695,4224072426,361.2655
399100,新 指 数,-1.06,5858.686,5880.979,5818.351,5864.732,5775.297,15607332003,1337.5916
399101,中小板综,-1.01,7478.206,7510.525,7434.806,7494.8240000000005,7379.1,7475149047,619.6611
399106,深证综指,-0.96,1292.356,1297.1019999999999,1284.665,1293.9489999999998,1274.623,15982013807,1348.9023
399107,深证Ａ指,-0.96,1351.316,1356.2910000000002,1343.287,1352.995,1332.7720000000002,15966459193,1348.3541
399108,深证Ｂ指,-1.0,843.3,844.1310000000001,835.704,843.831,832.2289999999999,15554614,0.5482
399333,中小板R,-1.58,5359.519,5388.4490000000005,5303.201,5369.343000000001,5262.948,2128269332,224.4269
399606,创业板R,-0.61,1334.616,1338.9289999999999,1330.703,1340.3310000000001,1319.713,1007403692,131.8616
