code,name,date,bamount,samount,type
300643,万通智控,2019-12-06,0.0,2341.62,换手率达20%的证券
002961,瑞达期货,2019-12-06,513.41,357.33,换手率达20%的证券
002351,漫步者,2019-12-06,0.0,24971.07,连续三个交易日内，涨幅偏离值累计达20%的证券
300643,万通智控,2019-12-06,0.0,2341.62,涨幅偏离值达7%的证券
002351,漫步者,2019-12-06,0.0,24971.07,涨幅偏离值达7%的证券
300352,北信源,2019-12-06,0.0,14147.4,跌幅偏离值达7%的证券
002273,水晶光电,2019-12-06,7277.11,3347.78,涨幅偏离值达7%的证券
002681,奋达科技,2019-12-06,1335.95,0.0,涨幅偏离值达7%的证券
300223,北京君正,2019-12-06,1651.9,0.0,涨幅偏离值达7%的证券
002655,共达电声,2019-12-06,0.0,3209.74,涨幅偏离值达7%的证券
002967,广电计量,2019-12-06,1154.47,0.0,换手率达20%的证券
000018,神城A退,2019-12-06,0.0,15.07,
603009,北特科技,2019-12-06,0.0,630.05,跌幅偏离值达7%的证券
601872,招商轮船,2019-12-06,0.0,2132.49,涨幅偏离值达7%的证券
300793,佳禾智能,2019-12-06,0.0,1514.41,换手率达20%的证券
300773,拉卡拉,2019-12-06,2746.81,0.0,涨幅偏离值达7%的证券
002351,漫步者,2019-12-05,0.0,1743.17,涨幅偏离值达7%的证券
300643,万通智控,2019-12-05,0.0,1910.59,连续三个交易日内，涨幅偏离值累计达20%的证券
300643,万通智控,2019-12-05,0.0,1910.59,涨幅偏离值达7%的证券
000800,一汽轿车,2019-12-05,0.0,2813.44,跌幅偏离值达7%的证券
300552,万集科技,2019-12-05,1317.13,0.0,涨幅偏离值达7%的证券
000673,当代东方,2019-12-05,0.0,648.73,涨幅偏离值达7%的证券
603421,鼎信通讯,2019-12-05,0.0,515.92,涨幅偏离值达7%的证券
300806,斯迪克,2019-12-05,276.86,0.0,连续三个交易日内，涨幅偏离值累计达20%的证券
002969,嘉美包装,2019-12-05,0.0,4.29,连续三个交易日内，涨幅偏离值累计达20%的证券
300809,华辰装备,2019-12-04,0.0,47.43,无价格涨跌幅限制的证券
300567,精测电子,2019-12-04,4093.55,1398.38,涨幅偏离值达7%的证券
300526,中潜股份,2019-12-04,34.63,287.15,涨幅偏离值达7%的证券
000975,银泰黄金,2019-12-04,3052.76,1205.08,涨幅偏离值达7%的证券
000603,盛达资源,2019-12-04,912.24,0.0,涨幅偏离值达7%的证券
603023,威帝股份,2019-12-04,0.0,364.39,连续三个交易日内，涨幅偏离值累计达20%的证券
600872,中炬高新,2019-12-04,21547.9,51301.01,跌幅偏离值达7%的证券
300661,圣邦股份,2019-12-03,6091.62,3784.28,涨幅偏离值达7%的证券
300643,万通智控,2019-12-03,0.0,1886.23,涨幅偏离值达7%的证券
002123,梦网集团,2019-12-03,9032.7,2378.29,振幅值达15%的证券
002967,广电计量,2019-12-03,3035.98,0.0,换手率达20%的证券
300241,瑞丰光电,2019-12-03,0.0,605.42,涨幅偏离值达7%的证券
000018,神城A退,2019-12-03,0.0,0.68,
603226,菲林格尔,2019-12-03,269.69,0.0,换手率达20%的证券
603023,威帝股份,2019-12-03,0.0,364.39,涨幅偏离值达7%的证券
603023,威帝股份,2019-12-03,0.0,364.39,涨幅偏离值达7%的证券
002655,共达电声,2019-12-02,1876.13,9303.93,换手率达20%的证券
300793,佳禾智能,2019-12-02,0.0,1071.94,换手率达20%的证券
300643,万通智控,2019-12-02,0.0,1736.11,连续三个交易日内，涨幅偏离值累计达20%的证券
300643,万通智控,2019-12-02,0.0,1736.11,涨幅偏离值达7%的证券
002967,广电计量,2019-12-02,0.0,2021.74,换手率达20%的证券
002655,共达电声,2019-12-02,1876.13,9303.93,涨幅偏离值达7%的证券
300552,万集科技,2019-12-02,608.08,2616.45,跌幅偏离值达7%的证券
300474,景嘉微,2019-12-02,0.0,2282.34,涨幅偏离值达7%的证券
300373,扬杰科技,2019-12-02,0.0,479.51,涨幅偏离值达7%的证券
002776,柏堡龙,2019-12-02,167.74,169.41,涨幅偏离值达7%的证券
000961,中南建设,2019-12-02,5493.98,5677.1,涨幅偏离值达7%的证券
002888,惠威科技,2019-12-02,0.0,270.29,换手率达20%的证券
000034,神州数码,2019-12-02,3256.62,0.0,涨幅偏离值达7%的证券
600243,青海华鼎,2019-12-02,0.0,2505.36,连续三个交易日内，涨幅偏离值累计达20%的证券
600867,通化东宝,2019-12-02,2531.67,35683.98,跌幅偏离值达7%的证券
002773,康弘药业,2019-12-02,7691.75,7215.14,连续三个交易日内，涨幅偏离值累计达20%的证券
603203,快克股份,2019-12-02,1038.34,0.0,涨幅偏离值达7%的证券
000951,中国重汽,2019-12-02,5113.65,2741.85,涨幅偏离值达7%的证券
002724,海洋王,2019-12-02,91.97,0.0,跌幅偏离值达7%的证券
