code,name,bamount,bcount,samount,scount,net
002123,梦网集团,9032.7,3,2378.29,1,6654.41
002273,水晶光电,7277.11,2,3347.78,2,3929.33
000034,神州数码,3256.62,2,0.0,0,3256.62
300773,拉卡拉,2746.81,2,0.0,0,2746.81
300567,精测电子,4093.55,2,1398.38,1,2695.17
000951,中国重汽,5113.65,2,2741.85,3,2371.8
300661,圣邦股份,6091.62,3,3784.28,2,2307.34
002967,广电计量,4190.45,3,2021.74,1,2168.71
000975,银泰黄金,3052.76,2,1205.08,1,1847.68
300223,北京君正,1651.9,1,0.0,0,1651.9
300203,聚光科技,2511.85,1,887.73,1,1624.12
002681,奋达科技,1335.95,1,0.0,0,1335.95
603203,快克股份,1038.34,2,0.0,0,1038.34
000603,盛达资源,912.24,1,0.0,0,912.24
002773,康弘药业,7691.75,1,7215.14,1,476.61
300806,斯迪克,276.86,1,0.0,0,276.86
603226,菲林格尔,269.69,1,0.0,0,269.69
002961,瑞达期货,513.41,1,357.33,0,156.07
002724,海洋王,91.97,1,0.0,0,91.97
002776,柏堡龙,167.74,0,169.41,1,-1.66
002969,嘉美包装,0.0,0,4.29,2,-4.29
000018,神城A退,0.0,0,15.74,3,-15.74
300809,华辰装备,0.0,0,47.43,5,-47.43
000961,中南建设,5493.98,4,5677.1,4,-183.12
300526,中潜股份,34.63,0,287.15,2,-252.52
002888,惠威科技,0.0,0,270.29,1,-270.29
300373,扬杰科技,0.0,0,479.51,1,-479.51
603421,鼎信通讯,0.0,0,515.92,1,-515.92
300241,瑞丰光电,0.0,0,605.42,1,-605.42
603009,北特科技,0.0,0,630.05,1,-630.05
000673,当代东方,0.0,0,648.73,1,-648.73
300552,万集科技,1925.21,2,2616.45,2,-691.24
603023,威帝股份,0.0,0,728.77,2,-728.77
601872,招商轮船,0.0,0,2132.49,2,-2132.49
300474,景嘉微,0.0,0,2282.34,2,-2282.34
600243,青海华鼎,0.0,0,2505.36,1,-2505.36
300793,佳禾智能,0.0,0,2586.35,2,-2586.35
000800,一汽轿车,0.0,0,2813.44,2,-2813.44
300643,万通智控,0.0,0,7874.55,4,-7874.55
002655,共达电声,1876.13,1,12513.67,5,-10637.54
300352,北信源,0.0,0,14147.4,1,-14147.4
002351,漫步者,0.0,0,26714.24,6,-26714.24
600872,中炬高新,21547.9,3,51301.01,4,-29753.11
600867,通化东宝,2531.67,1,35683.98,3,-33152.31
