Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,勇敢者游戏2：再战巅峰,252.86,17627.21,4,31.22,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fMc2AGxr4AAOxLd_Kmhc053.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAZBJFAAB_O1C3fys823.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAPXDfAAA7Fhz_6ro266.jpg,2019-12-09 00:42:16
2,南方车站的聚会,222.74,13842.16,4,27.50,,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_uAbAeHAABmKTruaGg662.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_yACR9AAAAx2wQE5K8370.jpg,2019-12-09 00:42:16
3,我为你牺牲,67.94,934.83,5,8.39,,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fKoOARwJfAAB7brwyKHk155.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13fKqGABFVLAAA6sKzntHg076.jpg,2019-12-09 00:42:16
4,冰雪奇缘2,54.90,73581.61,18,6.78,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,2019-12-09 00:42:16
5,吹哨人,54.15,3084.60,4,6.68,,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9KAWvnMAAB48IV9Cbo035.jpg,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9OAPTtyAABBY9KpQC4082.jpg,2019-12-09 00:42:16
6,利刃出鞘,49.05,16765.98,11,6.06,http://images.entgroup.cn/group2/M00/02/96/wKgASl3kgTWAP4OdAAOZ48FGmwU516.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAYO4qAABt4LQ_k-A251.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAXuSYAAA4OfsXwww180.jpg,2019-12-09 00:42:16
7,若能与你共乘海浪之上,29.38,1140.03,3,3.63,,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LYPWAcrCSAABD9nO-G3g381.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LYPWAHJ2WAAAjrbT_-UM230.jpg,2019-12-09 00:42:16
8,星际探索,29.01,2004.31,5,3.58,http://images.entgroup.cn/group2/M00/02/97/wKgAS13of66AclR8AAMk05K49bg751.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgASl3ofzqAVVgcAABp95ZMqls938.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgAS13of1uAbdoOAAAwrE3rTYQ383.jpg,2019-12-09 00:42:16
9,两只老虎,22.14,20903.32,11,2.73,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNJCAfOU9AAOIfCDymtI394.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNKKACzl0AACNp9syw-w291.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fNISAZ9boAABF2luTozk557.jpg,2019-12-09 00:42:16
10,我和我的祖国,5.51,298999.61,71,0.68,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,2019-12-09 00:42:16
11,其它,22.32,0.00,0,1.00,,,,2019-12-09 00:42:16
