IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,RapIndex,WomIndex
1,勇敢者游戏2：再战巅峰,246,17620,42,1,4,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fMc2AGxr4AAOxLd_Kmhc053.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAZBJFAAB_O1C3fys823.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAPXDfAAA7Fhz_6ro266.jpg,-95,,
2,南方车站的聚会,220,13839,43,1,4,,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_uAbAeHAABmKTruaGg662.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_yACR9AAAAx2wQE5K8370.jpg,-94,,
3,我为你牺牲,66,933,42,33,5,,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fKoOARwJfAAB7brwyKHk155.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13fKqGABFVLAAA6sKzntHg076.jpg,-62,,
4,冰雪奇缘2,51,73578,37,1,18,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,-98,,
5,吹哨人,51,3081,37,1,4,,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9KAWvnMAAB48IV9Cbo035.jpg,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9OAPTtyAABBY9KpQC4082.jpg,-95,,
6,利刃出鞘,49,16766,38,1,11,http://images.entgroup.cn/group2/M00/02/96/wKgASl3kgTWAP4OdAAOZ48FGmwU516.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAYO4qAABt4LQ_k-A251.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAXuSYAAA4OfsXwww180.jpg,-96,,
7,星际探索,29,2004,38,0,5,http://images.entgroup.cn/group2/M00/02/97/wKgAS13of66AclR8AAMk05K49bg751.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgASl3ofzqAVVgcAABp95ZMqls938.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgAS13of1uAbdoOAAAwrE3rTYQ383.jpg,-90,,
8,若能与你共乘海浪之上,26,1137,34,0,3,,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LYPWAcrCSAABD9nO-G3g381.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LYPWAHJ2WAAAjrbT_-UM230.jpg,-92,,
9,两只老虎,21,20902,39,0,11,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNJCAfOU9AAOIfCDymtI394.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNKKACzl0AACNp9syw-w291.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fNISAZ9boAABF2luTozk557.jpg,-96,,
10,我和我的祖国,6,299000,58,15,71,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,500,,
