BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
1020.83,1,飓风奇劫,26.70,4,5885.32,2018-11-05 23:29:45
758.27,2,胡桃夹子和四个王国,19.84,4,8975.85,2018-11-05 23:29:45
542.19,3,流浪猫鲍勃,14.18,4,3428.35,2018-11-05 23:29:45
389.67,4,无双,10.19,37,125758.54,2018-11-05 23:29:45
298.70,5,铁血战士,7.81,11,20871.34,2018-11-05 23:29:45
224.07,6,冰封侠:时空行者,5.86,4,2928.93,2018-11-05 23:29:45
146.36,7,嗝嗝老师,3.83,25,14212.78,2018-11-05 23:29:45
95.50,8,昨日青空,2.50,11,8079.82,2018-11-05 23:29:45
94.03,9,滴答屋,2.46,5,1743.97,2018-11-05 23:29:45
83.18,10,找到你,2.18,32,28108.01,2018-11-05 23:29:45
169.99,11,其它,1.00,0,0.00,2018-11-05 23:29:45
