IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,RapIndex,WomIndex
1,冰雪奇缘2,722,41425,39,1,5,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,-79,,
2,大约在冬季,101,19406,37,1,12,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODtCAVXrLAAJFKzuxWp4698.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0WAWwdAAABWbKpyFkU297.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0aAHz7NAAAraiOhoVM992.jpg,-87,,
3,海上钢琴师,81,12496,35,1,12,http://images.entgroup.cn/group2/M00/02/95/wKgAS13OD4mAApl_AALmQxZXm-A367.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAB2C1AABU6MLe214739.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAQCCuAAAqn2egL_Q269.jpg,-82,,
4,你是凶手,73,3608,35,1,5,http://images.entgroup.cn/group2/M00/02/95/wKgAS13bTS-ABojjAAMoVWqCyAw972.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaAbyecAABa1pUQyZE372.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaATEN4AAAtcTkKRlc754.jpg,-83,,
5,决战中途岛,69,26769,35,1,19,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I01uABS0-AAMq-bbxEmM772.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAZFikAABaQKaTH2c345.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAdV3TAAAs9w8Huc0772.jpg,-84,,
6,触不可及,41,1858,35,1,5,,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKAMnquAABDA-7koSY172.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKATUfpAAAgsARm8Ec066.jpg,-84,,
7,受益人,22,21173,37,1,19,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I0-GAaWTYAAKnybTljiQ784.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgASl23mVWAd_zgAABj3anNrQQ938.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123mWSAVOlIAAAvmMoX_ow154.jpg,-87,,
8,我和我的祖国,21,296283,48,6,58,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,-93,,
9,小巷管家,16,2348,41,27,29,,http://images.entgroup.cn/group2/M00/02/94/wKgASl23n5qAYU94AABjRytG_jw606.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123n6mAAlq8AAAxqLO6ZoE128.jpg,7,,
10,少年的你,15,153372,41,0,33,http://images.entgroup.cn/group2/M00/02/94/wKgASl27pH6Aevr_AAMDUhtCw8I903.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqS-AK9xkAACOPjzVcA4994.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqTCAFRuPAABEcjQyONQ604.jpg,-95,,
