Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,冰雪奇缘2,739.64,41562.89,5,57.34,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,2019-11-26 01:02:13
2,大约在冬季,103.59,19441.61,12,8.03,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODtCAVXrLAAJFKzuxWp4698.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0WAWwdAAABWbKpyFkU297.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0aAHz7NAAAraiOhoVM992.jpg,2019-11-26 01:02:13
3,海上钢琴师,82.94,12512.91,12,6.43,http://images.entgroup.cn/group2/M00/02/95/wKgAS13OD4mAApl_AALmQxZXm-A367.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAB2C1AABU6MLe214739.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAQCCuAAAqn2egL_Q269.jpg,2019-11-26 01:02:13
4,你是凶手,74.90,3631.41,5,5.81,http://images.entgroup.cn/group2/M00/02/95/wKgAS13bTS-ABojjAAMoVWqCyAw972.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaAbyecAABa1pUQyZE372.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaATEN4AAAtcTkKRlc754.jpg,2019-11-26 01:02:13
5,决战中途岛,70.58,26789.89,19,5.47,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I01uABS0-AAMq-bbxEmM772.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAZFikAABaQKaTH2c345.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAdV3TAAAs9w8Huc0772.jpg,2019-11-26 01:02:13
6,触不可及,43.13,1872.22,5,3.34,,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKAMnquAABDA-7koSY172.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKATUfpAAAgsARm8Ec066.jpg,2019-11-26 01:02:13
7,受益人,22.56,21183.39,19,1.75,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I0-GAaWTYAAKnybTljiQ784.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgASl23mVWAd_zgAABj3anNrQQ938.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123mWSAVOlIAAAvmMoX_ow154.jpg,2019-11-26 01:02:13
8,我和我的祖国,22.28,296289.29,58,1.73,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,2019-11-26 01:02:13
9,少年的你,17.38,153385.84,33,1.35,http://images.entgroup.cn/group2/M00/02/94/wKgASl27pH6Aevr_AAMDUhtCw8I903.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqS-AK9xkAACOPjzVcA4994.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqTCAFRuPAABEcjQyONQ604.jpg,2019-11-26 01:02:13
10,小巷管家,16.30,2347.84,29,1.26,,http://images.entgroup.cn/group2/M00/02/94/wKgASl23n5qAYU94AABjRytG_jw606.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123n6mAAlq8AAAxqLO6ZoE128.jpg,2019-11-26 01:02:13
11,其它,96.54,0.00,0,1.00,,,,2019-11-26 01:02:13
