IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,WomIndex
1,罗小黑战记,998,11942,33,4,5,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,-18,
2,速度与激情：特别行动,786,134885,35,3,20,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,-19,
3,哪吒之魔童降世,464,482771,34,2,48,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,-21,
4,烈火英雄,219,167898,39,3,42,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgZaAfNe-AAO7Ksr26TA049.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgAS11CgQGAaweAAAB7sr_UZpk254.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgPiAcxWVAAA3_PvNj4s646.jpg,-5,
5,徒手攀岩,159,2608,34,2,6,,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10_ozeAPco5AABn5t7r2fs151.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10_ozeAYDZxAAAv96XMIUQ831.jpg,-20,
6,检察方的罪人,118,1139,38,3,6,,http://images.entgroup.cn/group2/M00/02/8E/wKgASl1b96GAHQF-AAB33trKUFs143.jpg,http://images.entgroup.cn/group2/M00/02/8D/wKgAS11b97OAFsZlAAA8gckvSWM993.jpg,55,
7,宝莱坞机器人2.0：重生归来,67,2053,33,1,6,,http://images.entgroup.cn/group1/M00/05/15/wKgASV1SKoaAXUDUAABvg2kVvQw166.jpg,http://images.entgroup.cn/group1/M00/05/15/wKgASV1SKoaAIy9rAAA3pAIPYjQ960.jpg,-26,
8,一生只为一事来,54,182,33,4,3,,http://images.entgroup.cn/group1/M00/05/19/wKgASV1eLsSAVFCoAABq17XVyhU192.jpg,http://images.entgroup.cn/group2/M00/02/8E/wKgAS11eLteASBUZAAAu7uGSFCs291.jpg,-37,
9,最长1枪,45,717,36,2,6,,http://images.entgroup.cn/group2/M00/02/8C/wKgAS11RDoGAdK62AAB_mZDXVjA825.jpg,http://images.entgroup.cn/group2/M00/02/8C/wKgAS11RDoGAXPHhAAA4MzW2FHc622.jpg,-2,
10,古田军号,38,2539,33,4,42,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,-28,
