Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,罗小黑战记,1023.45,11966.75,5,30.93,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,2019-09-11 23:02:34
2,速度与激情：特别行动,825.79,134925.31,20,24.95,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,2019-09-11 23:02:34
3,哪吒之魔童降世,486.98,482794.43,48,14.72,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,2019-09-11 23:02:34
4,烈火英雄,226.52,167905.36,42,6.84,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgZaAfNe-AAO7Ksr26TA049.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgAS11CgQGAaweAAAB7sr_UZpk254.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgPiAcxWVAAA3_PvNj4s646.jpg,2019-09-11 23:02:34
5,徒手攀岩,168.86,2617.47,6,5.10,,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10_ozeAPco5AABn5t7r2fs151.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10_ozeAYDZxAAAv96XMIUQ831.jpg,2019-09-11 23:02:34
6,检察方的罪人,119.04,1140.39,6,3.60,,http://images.entgroup.cn/group2/M00/02/8E/wKgASl1b96GAHQF-AAB33trKUFs143.jpg,http://images.entgroup.cn/group2/M00/02/8D/wKgAS11b97OAFsZlAAA8gckvSWM993.jpg,2019-09-11 23:02:34
7,宝莱坞机器人2.0：重生归来,67.38,2053.52,6,2.04,,http://images.entgroup.cn/group1/M00/05/15/wKgASV1SKoaAXUDUAABvg2kVvQw166.jpg,http://images.entgroup.cn/group1/M00/05/15/wKgASV1SKoaAIy9rAAA3pAIPYjQ960.jpg,2019-09-11 23:02:34
8,一生只为一事来,61.07,188.96,3,1.85,,http://images.entgroup.cn/group1/M00/05/19/wKgASV1eLsSAVFCoAABq17XVyhU192.jpg,http://images.entgroup.cn/group2/M00/02/8E/wKgAS11eLteASBUZAAAu7uGSFCs291.jpg,2019-09-11 23:02:34
9,最长1枪,44.65,717.13,6,1.35,,http://images.entgroup.cn/group2/M00/02/8C/wKgAS11RDoGAdK62AAB_mZDXVjA825.jpg,http://images.entgroup.cn/group2/M00/02/8C/wKgAS11RDoGAXPHhAAA4MzW2FHc622.jpg,2019-09-11 23:02:34
10,古田军号,38.26,2539.06,42,1.16,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,2019-09-11 23:02:34
11,其它,247.38,0.00,0,1.00,,,,2019-09-11 23:02:34
