BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
1631.82,1,毒液：致命守护者,37.27,0,1815.10,2018-11-09 00:05:33
855.36,2,飓风奇劫,19.53,7,8743.25,2018-11-09 00:05:33
403.13,3,胡桃夹子和四个王国,9.21,7,10379.47,2018-11-09 00:05:33
377.23,4,流浪猫鲍勃,8.62,7,4730.36,2018-11-09 00:05:33
326.24,5,无双,7.45,40,126827.48,2018-11-09 00:05:33
195.56,6,铁血战士,4.47,14,21551.85,2018-11-09 00:05:33
131.83,7,冰封侠:时空行者,3.01,7,3396.36,2018-11-09 00:05:33
121.56,8,嗝嗝老师,2.78,28,14611.53,2018-11-09 00:05:33
68.49,9,找到你,1.56,35,28374.19,2018-11-09 00:05:33
59.80,10,昨日青空,1.37,14,8271.89,2018-11-09 00:05:33
207.70,11,其它,1.00,0,0.00,2018-11-09 00:05:33
