code,name,date,bamount,samount,type
002330,得利斯,2019-07-09,0.0,2188.94,涨幅偏离值达7%的证券
300552,万集科技,2019-07-09,321.35,498.13,振幅值达15%的证券
300362,天翔环境,2019-07-09,178.87,0.0,跌幅偏离值达7%的证券
000987,越秀金控,2019-07-09,790.42,0.0,涨幅偏离值达7%的证券
002869,金溢科技,2019-07-09,0.0,674.7,换手率达20%的证券
002869,金溢科技,2019-07-09,0.0,674.7,振幅值达15%的证券
000550,江铃汽车,2019-07-09,115.42,842.42,涨幅偏离值达7%的证券
002330,得利斯,2019-07-09,0.0,2188.94,连续三个交易日内，涨幅偏离值累计达20%的证券
601698,中国卫通,2019-07-09,0.0,30.79,连续三个交易日内，涨幅偏离值累计达20%的证券
601236,红塔证券,2019-07-09,0.0,58.07,连续三个交易日内，涨幅偏离值累计达20%的证券
600063,皖维高新,2019-07-09,330.32,260.13,涨幅偏离值达7%的证券
601236,红塔证券,2019-07-09,0.0,58.07,涨幅偏离值达7%的证券
300748,金力永磁,2019-07-09,0.0,762.81,换手率达20%的证券
300782,卓胜微,2019-07-09,1472.52,0.0,换手率达20%的证券
300600,瑞特股份,2019-07-09,0.0,96.96,跌幅偏离值达7%的证券
000656,金科股份,2019-07-08,2533.76,5828.47,涨幅偏离值达7%的证券
300782,卓胜微,2019-07-08,27688.42,0.0,连续三个交易日内，涨幅偏离值累计达20%的证券
601155,新城控股,2019-07-08,0.0,2271.49,连续三个交易日内，跌幅偏离值累计达20%的证券
300782,卓胜微,2019-07-08,27688.42,0.0,换手率达20%的证券
603068,博通集成,2019-07-08,2691.01,2895.55,振幅值达15%的证券
300573,兴齐眼药,2019-07-08,11886.86,2017.76,连续三个交易日内，涨幅偏离值累计达20%的证券
601155,新城控股,2019-07-08,0.0,2271.49,跌幅偏离值达7%的证券
601236,红塔证券,2019-07-08,0.0,10.85,涨幅偏离值达7%的证券
601698,中国卫通,2019-07-08,0.0,4.9,涨幅偏离值达7%的证券
300573,兴齐眼药,2019-07-08,11886.86,2017.76,涨幅偏离值达7%的证券
002100,天康生物,2019-07-08,0.0,1826.0,涨幅偏离值达7%的证券
300516,久之洋,2019-07-08,0.0,1052.95,振幅值达15%的证券
300462,华铭智能,2019-07-08,999.98,0.0,换手率达20%的证券
002869,金溢科技,2019-07-08,999.01,0.0,换手率达20%的证券
002330,得利斯,2019-07-08,0.0,838.17,涨幅偏离值达7%的证券
300429,强力新材,2019-07-05,0.0,340.66,涨幅偏离值达7%的证券
000918,嘉凯城,2019-07-05,82.74,1314.98,涨幅偏离值达7%的证券
000889,中嘉博创,2019-07-05,5145.58,0.0,跌幅偏离值达7%的证券
000732,泰禾集团,2019-07-05,0.0,1864.23,跌幅偏离值达7%的证券
002719,麦趣尔,2019-07-05,112.13,0.0,跌幅偏离值达7%的证券
002626,金达威,2019-07-05,0.0,383.99,涨幅偏离值达7%的证券
601698,中国卫通,2019-07-05,0.0,24.44,连续三个交易日内，涨幅偏离值累计达20%的证券
601155,新城控股,2019-07-05,0.0,1692.69,跌幅偏离值达7%的证券
300782,卓胜微,2019-07-04,32677.53,0.0,换手率达20%的证券
300545,联得装备,2019-07-04,0.0,833.94,跌幅偏离值达7%的证券
300648,星云股份,2019-07-04,0.0,1214.3,换手率达20%的证券
002946,新乳业,2019-07-04,240.65,0.0,换手率达20%的证券
603867,新化股份,2019-07-04,0.0,332.58,换手率达20%的证券
300648,星云股份,2019-07-04,0.0,1214.3,振幅值达15%的证券
601155,新城控股,2019-07-04,0.0,220.92,跌幅偏离值达7%的证券
300595,欧普康视,2019-07-04,3630.35,4645.67,跌幅偏离值达7%的证券
300782,卓胜微,2019-07-04,32677.53,0.0,换手率达20%的证券
300545,联得装备,2019-07-04,0.0,833.94,跌幅偏离值达7%的证券
300782,卓胜微,2019-07-04,32677.53,0.0,涨幅偏离值达7%的证券
300403,汉宇集团,2019-07-04,0.0,1108.61,振幅值达15%的证券
000889,中嘉博创,2019-07-04,5139.07,0.0,涨幅偏离值达7%的证券
300770,新媒股份,2019-07-03,864.86,1265.09,跌幅偏离值达7%的证券
300545,联得装备,2019-07-03,1858.98,0.0,连续三个交易日内，涨幅偏离值累计达20%的证券
300545,联得装备,2019-07-03,1858.98,0.0,换手率达20%的证券
002696,百洋股份,2019-07-03,0.0,550.91,涨幅偏离值达7%的证券
002444,巨星科技,2019-07-03,2996.22,0.0,涨幅偏离值达7%的证券
300516,久之洋,2019-07-03,0.0,898.64,连续三个交易日内，涨幅偏离值累计达20%的证券
300516,久之洋,2019-07-03,0.0,898.64,涨幅偏离值达7%的证券
300190,维尔利,2019-07-03,0.0,2777.11,涨幅偏离值达7%的证券
600968,海油发展,2019-07-03,0.0,10495.49,换手率达20%的证券
601698,中国卫通,2019-07-03,0.0,25.37,连续三个交易日内，涨幅偏离值累计达20%的证券
600008,首创股份,2019-07-03,0.0,337.84,涨幅偏离值达7%的证券
