Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,小Q,396.96,5273.74,3,14.04,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdWGAdiZSAAH3FPdXrPs938.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdYaADFTSAABvdG6ZFQs379.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdaeASyysAAA0iqrZm7A810.jpg,2019-09-22 11:43:58
2,罗小黑战记,370.85,27172.68,16,13.11,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,2019-09-22 11:43:58
3,诛仙Ⅰ,344.42,35432.53,10,12.18,http://images.entgroup.cn/group2/M00/02/90/wKgASl1_LnGAc4MdAAMs9OucdcQ719.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqALTt9AABu4FrjIZ0468.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqAeLouAAA3sX12UeM982.jpg,2019-09-22 11:43:58
4,名侦探柯南：绀青之拳,339.07,20603.40,10,11.99,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_LxqAHLJzAANQFihab18667.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuAY_kOAACRGpzxag8781.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuACCJBAABKOIGHX7s735.jpg,2019-09-22 11:43:58
5,决胜时刻,337.13,3500.27,3,11.92,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdfyAJOANAANLBNk3a4w103.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdkiAcRb5AABr-vQ74Ck118.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdiiAeFOnAAA3MVwccbA710.jpg,2019-09-22 11:43:58
6,小小的愿望,267.92,20927.53,11,9.47,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_L7-AF5i1AALZpSRR4ng320.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAYabGAABUUC-Am5o028.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAIMcEAAAuEZQvV-A794.jpg,2019-09-22 11:43:58
7,哪吒之魔童降世,230.78,492432.76,59,8.16,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,2019-09-22 11:43:58
8,友情以上,203.71,1543.42,3,7.20,,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAaCJ5AABon6ZX_Do432.jpg,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAO1O-AAA2zINC7mw258.jpg,2019-09-22 11:43:58
9,速度与激情：特别行动,110.87,141616.29,31,3.92,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,2019-09-22 11:43:58
10,巨鳄风暴,58.22,6422.25,11,2.06,,http://images.entgroup.cn/group1/M00/05/1C/wKgASV1vLxeAXyraAABU4ys0KEg314.jpg,http://images.entgroup.cn/group1/M00/05/1C/wKgASV1vLxeAL-gOAAAsdx-oXfs561.jpg,2019-09-22 11:43:58
11,其它,168.35,0.00,0,1.00,,,,2019-09-22 11:43:58
