code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000008,神州高铁,10,7877.00,4339.33,3537.66,日涨幅偏离值达到7%的前五只证券,0.13,0.10,2019-09-20
000043,中航善达,7.4244,9056.16,5611.74,3444.42,日涨幅偏离值达到7%的前五只证券,0.31,0.19,2019-09-20
000673,当代东方,9.9679,5712.76,2446.49,3266.27,日涨幅偏离值达到7%的前五只证券,0.12,0.16,2019-09-20
000909,数源科技,9.9612,6616.48,3447.94,3168.55,日涨幅偏离值达到7%的前五只证券,0.38,0.35,2019-09-20
000977,浪潮信息,10.0193,78954.93,29631.64,49323.29,日涨幅偏离值达到7%的前五只证券,0.11,0.18,2019-09-20
002018,华信退,-10.8108,12.95,5.54,7.41,退市整理期,0.75,1.00,2019-09-20
002134,天津普林,-8.5759,14768.18,3409.01,11359.17,日振幅值达到15%的前五只证券,0.05,0.18,2019-09-20
002134,天津普林,-8.5759,14768.18,3409.01,11359.17,日跌幅偏离值达到7%的前五只证券,0.05,0.18,2019-09-20
002459,天业通联,-10.0207,4858.48,1743.49,3114.99,日跌幅偏离值达到7%的前五只证券,0.08,0.14,2019-09-20
002477,雏鹰退,-5,494.85,292.27,202.58,退市整理期,0.53,0.36,2019-09-20
002524,光正集团,10.0143,8970.20,5721.18,3249.02,日涨幅偏离值达到7%的前五只证券,0.18,0.10,2019-09-20
002636,金安国纪,9.9585,8430.56,4641.98,3788.58,日涨幅偏离值达到7%的前五只证券,0.13,0.11,2019-09-20
002786,银宝山新,10.0334,10242.97,7785.14,2457.83,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.31,0.10,2019-09-20
002819,东方中科,9.9939,20418.42,8517.41,11901.01,日涨幅偏离值达到7%的前五只证券,0.09,0.12,2019-09-20
002819,东方中科,9.9939,20418.42,8517.41,11901.01,日换手率达到20%的前五只证券,0.09,0.12,2019-09-20
002856,美芝股份,0.7223,4808.43,1884.64,2923.79,日换手率达到20%的前五只证券,0.05,0.08,2019-09-20
002917,金奥博,10.0097,10061.35,2919.82,7141.53,日振幅值达到15%的前五只证券,0.05,0.11,2019-09-20
002917,金奥博,10.0097,10061.35,2919.82,7141.53,日涨幅偏离值达到7%的前五只证券,0.05,0.11,2019-09-20
002917,金奥博,10.0097,10061.35,2919.82,7141.53,日换手率达到20%的前五只证券,0.05,0.11,2019-09-20
002937,兴瑞科技,7.4794,8310.70,4837.86,3472.84,日换手率达到20%的前五只证券,0.10,0.07,2019-09-20
002941,新疆交建,9.9922,10065.37,7348.56,2716.81,日涨幅偏离值达到7%的前五只证券,0.18,0.07,2019-09-20
002959,小熊电器,-1.6189,11442.67,5797.50,5645.17,日换手率达到20%的前五只证券,0.06,0.06,2019-09-20
002961,瑞达期货,10,995.77,973.38,22.39,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.02,2019-09-20
002962,五方光电,10.012,361.33,298.40,62.93,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.21,2019-09-20
200018,*ST神城B,-5.7692,493.72,242.00,251.71,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券,0.48,0.50,2019-09-20
200018,*ST神城B,-5.7692,493.72,242.00,251.71,异常期间价格跌幅偏离值累计达到-15.87%,0.48,0.50,2019-09-20
300052,中青宝,5.6357,12808.80,6916.39,5892.41,日振幅值达到15%的前五只证券,0.07,0.06,2019-09-20
300081,恒信东方,10.0394,8957.34,6079.51,2877.84,日涨幅偏离值达到7%的前五只证券,0.15,0.07,2019-09-20
300282,三盛教育,9.9755,14106.55,8160.92,5945.63,日涨幅偏离值达到7%的前五只证券,0.33,0.24,2019-09-20
300460,惠伦晶体,9.9671,13474.17,7342.48,6131.69,日涨幅偏离值达到7%的前五只证券,0.25,0.21,2019-09-20
300460,惠伦晶体,9.9671,18256.12,9521.17,8734.94,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.19,0.17,2019-09-20
300576,容大感光,-0.6599,7734.02,2060.76,5673.27,日换手率达到20%的前五只证券,0.06,0.16,2019-09-20
300594,朗进科技,9.9974,8272.66,6430.79,1841.86,日涨幅偏离值达到7%的前五只证券,0.24,0.07,2019-09-20
300624,万兴科技,10.0067,16998.09,11242.88,5755.22,日涨幅偏离值达到7%的前五只证券,0.29,0.15,2019-09-20
300780,德恩精工,5.9078,4188.47,2245.17,1943.30,日换手率达到20%的前五只证券,0.07,0.06,2019-09-20
300783,三只松鼠,-9.9961,21780.53,9060.68,12719.85,日跌幅偏离值达到7%的前五只证券,0.08,0.11,2019-09-20
300783,三只松鼠,-9.9961,21780.53,9060.68,12719.85,日换手率达到20%的前五只证券,0.08,0.11,2019-09-20
300787,海能实业,-4.3243,4436.63,2260.60,2176.04,日换手率达到20%的前五只证券,0.05,0.05,2019-09-20
300789,唐源电气,-3.2077,6936.44,2375.84,4560.60,日换手率达到20%的前五只证券,0.06,0.12,2019-09-20
300790,宇瞳光学,43.9978,64.86,57.63,7.22,无价格涨跌幅限制的证券,1.00,0.13,2019-09-20
600052,浙江广厦,10.0379,9721.50,5205.90,4515.60,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.11,0.09,2019-09-20
