RowNum,CinemaName,TodayBox,TodayShowCount,TodayAudienceCount,price,AvgPeople,Attendance
1,Jackie Chan北京耀莱,193910.08,122,4511,42.99,36.98,17.857442
2,北京寰映合生汇店,169236.73,62,2565,65.98,41.37,31.315282
3,金逸北京大悦城IMAX店,153658.59,59,2385,64.43,40.42,22.379919
4,广州飞扬影城（正佳分店）,141122.11,64,2925,48.25,45.70,20.784645
5,北京通州万达广场店,137989.56,81,2355,58.59,29.07,18.518518
6,中影国际影城武汉光谷天河店,129524.18,58,4071,31.82,70.19,34.920226
7,南昌红谷滩万达广场店,126458.64,69,3085,40.99,44.71,28.327441
8,金逸北京荟聚IMAX店,121750.52,74,2409,50.54,32.55,16.299253
9,南京新街口国际影城,117640.80,111,3437,34.23,30.96,22.591127
10,北京石景山万达广场店,116846.84,63,2047,57.08,32.49,20.409587
11,上海五角场万达广场店,116069.36,85,2478,46.84,29.15,14.829813
12,UME影城（北京双井店）,113858.97,70,1891,60.21,27.01,16.195614
13,中影国际影城北京昌平永旺店,111689.92,49,2455,45.49,50.10,29.844849
14,卢米埃北京长楹天街IMAX影城,109788.98,55,1767,62.13,32.13,15.033819
15,首都电影院昌平店,109672.99,53,2597,42.23,49.00,38.919777
16,星美影商城北京金源IMAX店,109187.50,61,1810,60.32,29.67,13.569572
17,北京万达影城天通苑龙德广场店,106465.19,59,1903,55.95,32.25,14.787984
18,CGV影城 深圳壹方城店,105554.22,71,1346,78.42,18.96,10.866868
19,北京美嘉欢乐影城（中关村）,105346.98,50,2437,43.23,48.74,24.158612
20,巨幕影城（武汉光谷广场资本大厦店）,104466.49,72,3258,32.06,45.25,21.235068
21,广州飞扬影城,103392.69,59,2153,48.02,36.49,16.484031
22,武汉汉街万达广场店,102825.80,94,2580,39.85,27.45,18.833583
23,UME影城（北京安贞店）,98717.86,83,1929,51.18,23.24,18.204410
24,金逸影城北京中关村店,98206.49,52,1842,53.32,35.42,27.040516
25,济南高新万达广场店,97648.75,70,2484,39.31,35.49,19.833654
26,海口万达影城海航日月广场店,96025.45,98,2191,43.83,22.36,15.487382
27,北京市金泉港国际影城,95896.48,119,1815,52.84,15.25,11.575501
28,海上明珠国际影城上海环球港店,95052.04,57,1653,57.50,29.00,20.549158
29,武商摩尔国际电影城,94650.52,118,2933,32.27,24.86,16.226991
30,广州市捷登都会飞扬影城,93913.08,100,2693,34.87,26.93,13.532663
31,兰州中心空间站IMAX影城,93702.39,60,1907,49.14,31.78,23.638719
32,中影国际影城珠海华发2店,93278.41,60,2298,40.59,38.30,24.348378
33,北京美嘉欢乐影城（三里屯店）,91091.69,51,1396,65.25,27.37,13.729178
34,深圳市CINESKY新天影院(壹方天地IMAX店),90792.99,63,1860,48.81,29.52,15.265671
35,合肥万达影城之心城光魔店,90789.52,47,2361,38.45,50.23,26.614062
36,深圳市百老汇电影中心影城,90261.53,58,1476,61.15,25.45,13.951905
37,长春吉视迅驰影城,88552.84,45,2750,32.20,61.11,31.298904
38,上海百丽宫影城（环贸iapm店）,88164.40,41,1269,69.48,30.95,17.754045
39,福州仓山万达广场店,88076.18,62,1638,53.77,26.42,18.684126
40,大连经开万达广场店,87414.90,80,2176,40.17,27.20,16.602238
41,合肥梦露影城,87408.53,44,3162,27.64,71.86,33.829553
