BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
5455.60,1,无名之辈,38.68,17,62204.32,2018-12-02 23:57:59
2727.63,2,毒液：致命守护者,19.34,24,181266.06,2018-12-02 23:57:59
2611.76,3,无敌破坏王2：大闹互联网,18.52,10,23659.20,2018-12-02 23:57:59
1333.82,4,憨豆特工3,9.46,10,14704.19,2018-12-02 23:57:59
571.69,5,老爸102岁,4.05,3,2257.73,2018-12-02 23:57:59
570.67,6,神奇动物：格林德沃之罪,4.05,17,39090.96,2018-12-02 23:57:59
205.95,7,亡命救赎,1.46,3,1136.75,2018-12-02 23:57:59
196.98,8,摘金奇缘,1.40,3,789.47,2018-12-02 23:57:59
105.59,9,恐龙王,0.75,23,2723.51,2018-12-02 23:57:59
50.28,10,二十岁,0.36,3,262.72,2018-12-02 23:57:59
274.96,11,其它,1.00,0,0.00,2018-12-02 23:57:59
