BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
12877.04,1,海王,87.30,1,13773.38,2018-12-07 19:23:08
724.78,2,无名之辈,4.91,22,70661.66,2018-12-07 19:23:08
341.23,3,惊涛飓浪,2.31,1,347.01,2018-12-07 19:23:08
341.13,4,狗十三,2.31,1,876.68,2018-12-07 19:23:08
150.66,5,毒液：致命守护者,1.02,29,184711.28,2018-12-07 19:23:08
118.24,6,无敌破坏王2：大闹互联网,0.80,15,25067.19,2018-12-07 19:23:08
58.01,7,憨豆特工3,0.39,15,16449.93,2018-12-07 19:23:08
24.28,8,远去的牧歌,0.16,54,169.54,2018-12-07 19:23:08
17.14,9,进击的男孩,0.12,1,24.35,2018-12-07 19:23:08
15.00,10,神奇动物：格林德沃之罪,0.10,22,39670.48,2018-12-07 19:23:08
82.94,11,其它,1.00,0,0.00,2018-12-07 19:23:08
