code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,0.03,2609.3408,2605.1813,2605.8876,2614.5817,2599.2775,109074993,977.2766
000002,Ａ股指数,0.03,2732.3579,2727.9874,2728.7236,2737.8517,2721.8042,108946222,976.5946
000003,Ｂ股指数,0.07,280.4396,280.4957,280.6839,280.9459,279.8477,128771,0.682
000008,综合指数,-0.08,2530.9945,2525.7823,2523.7246,2535.9013,2519.2168,21959565,199.0723
000009,上证380,-0.03,4067.8702,4060.7741,4059.3772,4077.6332,4043.9272,28448413,242.8428
000010,上证180,-0.05,7187.0285,7168.0619,7164.4128,7196.9158,7155.503,34263535,397.0386
000011,基金指数,-0.06,5639.2178,5635.1136,5631.6319,5645.1429,5631.1066,35082220,290.4618
000012,国债指数,0.11,169.1232,169.1067,169.2919,169.2932,169.1197,129770,1.2466
000016,上证50,-0.15,2441.375,2434.4908,2430.7223,2444.9849,2427.8872,14534653,208.2078
000017,新综指,0.03,2203.0487,2199.5286,2200.1216,2207.4831,2194.543,108875220,972.7583
000300,沪深300,-0.0,3187.4919,3181.673,3181.5646,3193.8191,3176.7061,53361924,663.2397
000905,中证500,-0.0,4419.6086,4411.0884,4410.9593,4432.3298,4397.4243,51755054,412.532
399001,深证成指,-0.01,7741.732,7735.048000000001,7733.893,7765.141,7712.271,16689683050,1431.6066
399002,深成指R,0.0,9359.54,9349.867,9350.062,9387.84,9323.921999999999,6341042150,665.1195
399003,成份Ｂ指,-0.46,4488.075,4487.064,4466.59,4504.356,4452.071,5825950,0.2338
399004,深证100R,-0.05,4054.12,4053.531,4051.6679999999997,4066.222,4040.917,1843716143,271.0721
399005,中小板指,-0.08,5133.28,5132.722,5128.4929999999995,5154.827,5116.714,1630917449,201.8471
399006,创业板指,-0.35,1344.129,1345.761,1341.019,1349.261,1334.391,1150462472,151.9399
399008,中小300,-0.04,1002.375,1001.785,1001.4110000000001,1006.2460000000001,998.936,3945072139,362.6645
399100,新 指 数,-0.01,6130.126,6126.1630000000005,6125.51,6149.858,6105.276,16289486849,1412.3789
399101,中小板综,-0.1,7897.880999999999,7900.784000000001,7892.906,7928.265,7866.705,7630291953,635.8386
399106,深证综指,-0.0,1351.859,1350.753,1350.6960000000001,1356.422,1346.082,16689683050,1431.6066
399107,深证Ａ指,-0.0,1413.629,1412.469,1412.433,1418.406,1407.585,16676641270,1431.1641
399108,深证Ｂ指,-0.52,864.066,864.046,859.54,866.59,857.334,13041780,0.4424
399333,中小板R,-0.08,5707.4980000000005,5706.878000000001,5702.175,5731.455,5689.08,1630917449,201.8471
399606,创业板R,-0.35,1408.037,1409.747,1404.779,1413.414,1397.8370000000002,1150462472,151.9399
