BoxOffice,Irank,MovieName,boxPer,default_url,larger_url,moblie_url,movieDay,sumBoxOffice,time
2612.77,1,哥斯拉2：怪兽之王,79.77,http://images.entgroup.cn/group1/M00/00/7E/wKgASVznx_eAUj3SAABmd9DBRWM170.jpg,,http://images.entgroup.cn/group1/M00/00/F8/wKgASVzn0e-AIxsrAAAyW68AIfc127.jpg,1,4844.80,2019-05-31 10:10:43
185.70,2,阿拉丁,5.67,http://images.entgroup.cn/group2/M00/00/6C/wKgAS1znz0uATN12AACFhRA_KO8726.jpg,,http://images.entgroup.cn/group2/M00/00/7B/wKgASlzn0gmAWdrEAAA-3RPQii8617.jpg,8,20228.75,2019-05-31 10:10:43
86.06,3,花儿与歌声,2.63,http://images.entgroup.cn/group1/M00/00/BB/wKgASVznzNeAezUbAABWPqE_PeM537.jpg,,http://images.entgroup.cn/group1/M00/01/10/wKgASVzn07WAZ08VAAAvLJIjioI636.jpg,1,86.06,2019-05-31 10:10:43
84.05,4,托马斯大电影之世界探险记,2.57,http://images.entgroup.cn/group1/M00/00/AD/wKgASVzny7uASrOpAAB5cvFmQLM839.jpg,,http://images.entgroup.cn/group1/M00/01/35/wKgASVzn1kaAUOoVAAA8YCQ1cg8748.jpg,1,84.05,2019-05-31 10:10:43
74.44,5,大侦探皮卡丘,2.27,http://images.entgroup.cn/group2/M00/00/73/wKgAS1zn0L2AadOMAAB5rjjh1og929.jpg,,http://images.entgroup.cn/group2/M00/00/85/wKgASlzn02-AQHBQAAA9akXCcxI652.jpg,22,59428.23,2019-05-31 10:10:43
55.80,6,八子,1.70,http://images.entgroup.cn/group2/M00/00/65/wKgAS1znzjuAE-S_AABr1QyfoRE890.jpg,,http://images.entgroup.cn/group1/M00/01/3D/wKgASVzn1uOAaWFNAAA2YFffkaw302.jpg,-20,176.22,2019-05-31 10:10:43
33.75,7,一条狗的使命2,1.03,http://images.entgroup.cn/group2/M00/00/4A/wKgASlznydyAcm_FAABVF4Cn07k457.jpg,,http://images.entgroup.cn/group2/M00/00/78/wKgASlzn0ZOAEBlEAAApJvhqK9k490.jpg,15,18307.07,2019-05-31 10:10:43
29.16,8,好小子，好功夫,0.89,http://images.entgroup.cn/group1/M00/00/B4/wKgASVznzDaAOUvcAABWkDu6o2U077.jpg,,http://images.entgroup.cn/group2/M00/00/87/wKgASlzn06KAbr64AAAuqlOgUQk543.jpg,1,29.16,2019-05-31 10:10:43
17.16,9,五月天人生无限公司,0.52,http://images.entgroup.cn/group1/M00/00/E0/wKgASVzn0AeAS2raAAB79TpmweM517.jpg,,http://images.entgroup.cn/group1/M00/01/4A/wKgASVzn18SAR9wFAAA-tbBaB5o378.jpg,8,4146.08,2019-05-31 10:10:43
14.69,10,周恩来回延安,0.45,http://images.entgroup.cn/group1/M00/00/99/wKgASVznyhyADEtpAABsHxn7-Kg855.jpg,,http://images.entgroup.cn/group2/M00/00/7E/wKgAS1zn0nKAdtglAAAy30MZ84o222.jpg,17,552.50,2019-05-31 10:10:43
82.00,11,其它,1.00,,,,0,0.00,2019-05-31 10:10:43
