broker,count,bamount,bcount,samount,scount,top3
招商证券股份有限公司深圳深南东路证券营业部,2,1799.15,2,0.0,0,"保税科技,海德股份"
中国银河证券股份有限公司杭州天城东路证券营业部,3,1702.54,2,1690.02,1,"国泰集团,焦作万方,宇信科技"
华泰证券股份有限公司湖南分公司,13,13691.32,8,8689.21,5,"力源信息,紫金银行,中元股份,"
华泰证券股份有限公司沈阳大西路证券营业部,6,3025.64,4,1765.73,2,"飞利信,焦作万方,国泰集团,"
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,201,119593.21,109,99774.84,92,"有研新材,英洛华,大唐电信,"
中信证券（山东）有限责任公司淄博柳泉路证券营业部,3,3576.75,3,0.0,0,"紫金银行,科融环境,金力永磁"
海通证券股份有限公司蚌埠中荣街证券营业部,6,1960.63,3,2800.33,3,"金力永磁,楚天高速,国泰集团,"
中信证券（山东）有限责任公司青岛经济技术开发区井冈山路证券营业部,2,1660.05,2,0.0,0,"紫金银行,金力永磁"
广发证券股份有限公司江门天长路证券营业部,4,1419.81,2,950.64,2,"保税科技,华瑞股份,搜于特,"
招商证券股份有限公司南京中山南路证券营业部,3,2976.61,1,1811.9,2,"复旦复华,大港股份"
华鑫证券有限责任公司杭州飞云江路证券营业部,14,9349.01,10,4314.48,4,"康强电子,跃岭股份,江化微,"
华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,18,10027.64,11,9384.34,7,"*ST雏鹰,敦煌种业,富满电子,"
天风证券股份有限公司南京庐山路证券营业部,1,307.58,1,0.0,0,国泰集团
东莞证券股份有限公司厦门分公司,18,7664.56,10,4866.75,8,"湘邮科技,德宏股份,搜于特,"
国泰君安证券股份有限公司宜春袁山中路证券营业部,2,1227.79,2,0.0,0,"保税科技,湖南发展"
南京证券股份有限公司盐城建湖县人民路证券营业部,2,2419.47,2,0.0,0,"复旦复华,丰乐种业"
光大证券股份有限公司南昌广场南路证券营业部,1,0.0,0,1794.0,1,国泰集团
招商证券股份有限公司深圳后海证券营业部,17,5322.2,6,5808.27,11,"大唐电信,柏堡龙,紫天科技,"
东吴证券股份有限公司张家港杨舍证券营业部,1,845.1,1,0.0,0,保税科技
国泰君安证券股份有限公司长沙芙蓉中路证券营业部,1,0.0,0,171.78,1,国泰集团
国金证券股份有限公司上海浦东新区芳甸路证券营业部,3,1423.85,1,1878.96,2,"复旦复华,金逸影视"
中信证券股份有限公司总部(非营业场所),2,867.26,2,0.0,0,"华纺股份,ST康美"
海通证券股份有限公司上海牡丹江路证券营业部,2,674.26,1,700.56,1,"宇信科技,紫金银行"
招商证券股份有限公司上海娄山关路证券营业部,2,961.45,1,2719.73,1,"三川智慧,保税科技"
广发证券股份有限公司南昌北京西路证券营业部,2,0.0,0,235.19,2,国泰集团
西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,116,70572.23,63,55038.73,53,"有研新材,英洛华,大唐电信,"
中信证券股份有限公司武汉东风大道证券营业部,1,359.59,1,0.0,0,华纺股份
长城证券股份有限公司晋中安宁街证券营业部,1,0.0,0,80.73,1,国泰集团
平安证券股份有限公司银川凤凰北街证券营业部,27,22282.67,18,10793.6,9,"实达集团,大唐电信,英洛华,"
东吴证券股份有限公司苏州石路证券营业部,21,4823.56,7,13873.85,14,"天山生物,梦网集团,启迪古汉,"
华泰证券股份有限公司盐城分公司,1,0.0,0,514.06,1,紫金银行
东吴证券股份有限公司苏州西北街证券营业部,4,4022.91,3,861.98,1,"天龙光电,宁波东力,保税科技"
万联证券股份有限公司广州东风中路证券营业部,2,0.0,0,207.78,2,国泰集团
财富证券有限责任公司长沙观沙路证券营业部,1,302.98,1,0.0,0,华纺股份
国元证券股份有限公司合肥寿春路第一证券营业部,1,0.0,0,447.43,1,紫金银行
华泰证券股份有限公司江西分公司,3,1040.07,2,1683.73,1,"万向德农,金岭矿业,复旦复华"
中信证券股份有限公司杭州市心南路证券营业部,4,466.59,1,2141.98,3,"誉衡药业,金力永磁,*ST鹏起,"
中国银河证券股份有限公司北京建国路证券营业部,9,4029.22,3,11325.45,6,"英洛华,兴森科技,德威新材,"
光大证券股份有限公司广州珠江新城证券营业部,2,0.0,0,520.93,2,"三角防务,华纺股份"
招商证券股份有限公司上海陆家嘴东路证券营业部,3,6615.29,2,741.11,1,"丰乐种业,保税科技"
浙商证券股份有限公司长沙芙蓉中路证券营业部,1,0.0,0,416.06,1,华纺股份
西南证券股份有限公司甘肃分公司,1,0.0,0,380.4,1,华纺股份
西南证券股份有限公司四川分公司,1,0.0,0,341.61,1,华纺股份
申万宏源证券有限公司上海黄浦区广东路证券营业部,2,3.78,1,309.88,1,"退市海润,华纺股份"
上海证券有限责任公司深圳民田路证券营业部,2,2685.28,1,2374.51,1,实达集团
华泰证券股份有限公司浙江分公司,10,7295.01,6,5320.85,4,"实达集团,三川智慧,天马科技,"
五矿证券有限公司杭州市心北路证券营业部,3,1883.95,1,2514.5,2,"实达集团,誉衡药业"
国金证券股份有限公司上海互联网证券分公司,4,2445.37,2,946.51,2,"实达集团,日丰股份,泉峰汽车"
国泰君安证券股份有限公司上海福山路证券营业部,7,6607.87,4,5453.22,3,"实达集团,湘邮科技,华林证券"
湘财证券股份有限公司上海张杨路证券营业部,1,0.0,0,2385.93,1,实达集团
国泰君安证券股份有限公司上海江苏路证券营业部,27,27813.81,16,19671.81,11,"鼎信通讯,湘邮科技,蔚蓝生物,"
平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,25,3929.1,9,8770.73,16,"康恩贝,迪威迅,鸿合科技,"
方正证券股份有限公司杭州延安路证券营业部,1,1625.21,1,0.0,0,湘邮科技
湘财证券股份有限公司上海共和新路证券营业部,2,0.0,0,4989.12,2,实达集团
华泰证券股份有限公司成都蜀金路证券营业部,10,5725.2,5,4393.21,5,"蔚蓝生物,湘邮科技,彤程新材,"
方正证券股份有限公司上海杨高南路证券营业部,2,0.0,0,2909.97,2,"楚天高速,实达集团"
华泰证券股份有限公司广州天河东路证券营业部,2,0.0,0,1802.42,2,"太极实业,实达集团"
广发证券股份有限公司宜兴东虹东路证券营业部,2,928.98,1,737.38,1,鸿远电子
国融证券股份有限公司呼和浩特如意西街证券营业部,1,0.0,0,3864.92,1,湘邮科技
国融证券股份有限公司重庆分公司,2,2375.82,1,2310.72,1,"泉峰汽车,湘邮科技"
中国中投证券有限责任公司太原三墙路证券营业部,2,668.92,1,731.94,1,鸿远电子
中信建投证券股份有限公司武汉关山大道证券营业部,1,568.82,1,0.0,0,楚天高速
中信证券股份有限公司上海牡丹江路证券营业部,46,57528.17,26,47121.68,20,"科融环境,中色股份,蔚蓝生物,"
华泰证券股份有限公司郑州农业路证券营业部,1,544.4,1,0.0,0,楚天高速
华安证券股份有限公司宿州淮海路证券营业部,1,542.0,1,0.0,0,鸿远电子
中泰证券股份有限公司德州三八中路证券营业部,3,0.0,0,4454.1,3,"远望谷,湘邮科技"
西藏东方财富证券股份有限公司拉萨团结路第一证券营业部,10,2274.19,4,4518.02,6,"网达软件,东华测试,天龙光电,"
国泰君安证券股份有限公司北京通州新华西街证券营业部,2,465.07,1,0.39,1,"鸿远电子,*ST赫美"
中信建投证券股份有限公司福清田乾路证券营业部,1,0.0,0,1562.08,1,楚天高速
中国中投证券有限责任公司鞍山南胜利路证券营业部,7,3621.63,5,1036.23,2,"太极实业,正海磁材,湖南发展,"
中信证券股份有限公司上海溧阳路证券营业部,18,20495.47,12,23623.27,6,"三安光电,中色股份,农发种业,"
华福证券有限责任公司三明列东街证券营业部,2,0.0,0,1513.53,2,鸿远电子
广发证券股份有限公司杭州学院路证券营业部,3,2612.38,2,647.55,1,"福达合金,北信源,鸿远电子"
东海证券股份有限公司长沙韶山北路证券营业部,1,650.9,1,0.0,0,有友食品
华鑫证券有限责任公司湖州劳动路浙北金融中心证券营业部,9,5535.36,5,7399.04,4,"鸿远电子,新亚制程,华虹计通,"
华安证券股份有限公司合肥润安大厦证券营业部,3,964.61,2,488.96,1,"网达软件,有友食品,迪普科技"
东方证券股份有限公司桂林中山中路证券营业部,3,968.07,1,1136.83,2,"天津松江,宇晶股份"
华鑫证券有限责任公司宁波沧海路证券营业部,2,602.62,2,0.0,0,"天津松江,宏达矿业"
中国银河证券股份有限公司北京学院南路证券营业部,5,2580.02,3,1503.11,2,"丰乐种业,厚普股份,天津松江"
天风证券股份有限公司武汉八一路证券营业部,1,320.38,1,0.0,0,天津松江
光大证券股份有限公司深圳深南大道证券营业部,2,0.0,0,2028.13,2,"农发种业,有友食品"
国泰君安证券股份有限公司广州人民中路证券营业部,1,468.41,1,0.0,0,国泰集团
中信证券股份有限公司温岭万昌中路证券营业部,4,0.0,0,1508.26,4,"东华科技,跃岭股份,西陇科学,"
华泰证券股份有限公司淮安分公司,1,0.0,0,220.87,1,天津松江
华泰证券股份有限公司深圳科苑路百度国际大厦证券营业部,6,235.38,1,7977.25,5,"铭普光磁,泉峰汽车,力源信息,"
华泰证券股份有限公司成都南一环路第二证券营业部,3,4417.37,2,174.53,1,"大港股份,天津松江"
信达证券股份有限公司辽阳武圣路证券营业部,2,167.36,2,0.0,0,"泉峰汽车,三角防务"
申港证券股份有限公司大连分公司,1,35.24,1,0.0,0,泉峰汽车
招商证券股份有限公司上海牡丹江路证券营业部,2,1520.99,1,5.07,1,"英洛华,泉峰汽车"
中国银河证券股份有限公司广州天河北路证券营业部,2,0.0,0,1064.7,2,"搜于特,泉峰汽车"
华泰证券股份有限公司天津白堤路证券营业部,1,0.0,0,3.4,1,泉峰汽车
华西证券股份有限公司北京紫竹院路证券营业部,4,227.42,2,317.17,2,"深大通,敦煌种业,东晶电子"
财通证券股份有限公司温岭中华路证券营业部,7,2263.32,4,1760.11,3,"ST围海,北信源,焦作万方,"
中信证券股份有限公司上海恒丰路证券营业部,2,78.16,2,0.0,0,深大通
国泰君安证券股份有限公司郑州黄河路证券营业部,3,529.57,1,1197.45,2,"贵州轮胎,ST围海,招商南油"
国泰君安证券股份有限公司仙居酒坊巷证券营业部,3,550.79,1,1462.71,2,焦作万方
东方证券股份有限公司杭州龙井路证券营业部,1,34.56,1,0.0,0,深大通
中原证券股份有限公司洛阳开元大道证券营业部,1,515.56,1,0.0,0,贵州轮胎
宏信证券有限责任公司成都锦城大道证券营业部,6,3378.98,4,1558.46,2,"跃岭股份,搜于特,苏州高新,"
中银国际证券股份有限公司武汉黄孝河路证券营业部,1,32.35,1,0.0,0,深大通
恒泰证券股份有限公司临河胜利北路证券营业部,3,867.51,2,313.43,1,"贵州轮胎,美芝股份"
广发证券股份有限公司深圳高新南一道证券营业部,4,1071.9,2,2180.61,2,"东华科技,贵州轮胎,迪普科技,"
中信建投证券股份有限公司广州花城大道证券营业部,1,475.74,1,0.0,0,焦作万方
华泰证券股份有限公司上海武定路证券营业部,15,6418.71,6,12042.86,9,"江化微,蔚蓝生物,鼎信通讯,"
海通证券股份有限公司郑州经七路证券营业部,1,0.0,0,682.21,1,焦作万方
中信建投证券股份有限公司济南和平路证券营业部,2,0.0,0,182.16,2,深大通
光大证券股份有限公司杭州庆春路证券营业部,2,0.0,0,712.92,2,"新亚制程,贵州轮胎"
国元证券股份有限公司青岛山东路证券营业部,2,0.0,0,160.74,2,深大通
方正证券股份有限公司上海虹口保定路证券营业部,1,0.0,0,371.32,1,焦作万方
长江证券股份有限公司十堰人民北路证券营业部,2,0.0,0,156.77,2,深大通
东海证券股份有限公司焦作建设西路证券营业部,3,0.0,0,1585.06,3,焦作万方
第一创业证券股份有限公司合肥望江西路证券营业部,1,0.0,0,60.3,1,深大通
财通证券股份有限公司瑞安塘河南路证券营业部,1,0.0,0,251.12,1,焦作万方
海通证券股份有限公司深圳分公司红岭南路证券营业部,2,0.0,0,1563.82,2,"柏堡龙,贵州轮胎"
华鑫证券有限责任公司上海宛平南路证券营业部,5,2552.44,3,2375.21,2,"丰乐种业,三祥新材,惠城环保"
联讯证券股份有限公司沈阳大西路证券营业部,2,1690.14,1,1694.61,1,丰乐种业
中信证券股份有限公司上海东方路证券营业部,9,13675.33,5,10535.58,4,"丰乐种业,*ST凡谷,金新农,"
方正证券股份有限公司北京阜外大街,3,3949.53,2,2228.42,1,"农发种业,丰乐种业"
华安证券股份有限公司阜阳文峰路证券营业部,1,0.0,0,1911.53,1,丰乐种业
五矿证券有限公司杭州市中山北路证券营业部,3,737.83,1,1271.92,2,"一汽轿车,大港股份"
兴业证券股份有限公司安徽分公司,2,729.47,1,735.85,1,一汽轿车
平安证券股份有限公司福州长乐北路证券营业部,21,28645.46,13,7556.9,8,"英洛华,金逸影视,双杰电气,"
深股通专用,47,56072.33,23,53150.58,24,"正邦科技,华东医药,五矿稀土,"
国泰君安证券股份有限公司南宁民族大道证券营业部,2,551.69,1,1060.9,1,"一汽轿车,江化微"
华泰证券股份有限公司南京解放路证券营业部,3,0.0,0,5032.2,3,"安控科技,英洛华,敦煌种业"
招商证券股份有限公司福州六一中路证券营业部,1,0.0,0,1906.52,1,一汽轿车
中信证券股份有限公司上海分公司,19,36406.24,11,21885.14,8,"金力永磁,登海种业,力源信息,"
华林证券股份有限公司北京北三环东路证券营业部,2,50.1,1,570.71,1,"*ST赫美,一汽轿车"
财通证券股份有限公司绍兴解放大道证券营业部,1,2057.12,1,0.0,0,美利云
东北证券股份有限公司常州花园街证券营业部,3,1396.24,1,3584.34,2,"美利云,一汽夏利"
中信证券股份有限公司诸暨暨东路证券营业部,1,2339.34,1,0.0,0,五矿稀土
中泰证券股份有限公司苏州干将西路证券营业部,2,562.89,1,2068.34,1,"美利云,大唐电信"
华宝证券有限责任公司上海东大名路证券营业部,2,414.88,1,443.59,1,"美利云,汇源通信"
中信建投证券股份有限公司长沙星沙证券营业部,1,1446.48,1,0.0,0,五矿稀土
中国银河证券股份有限公司杭州庆春路证券营业部,8,11478.23,4,6803.94,4,"五矿稀土,华东医药,帝尔激光,"
广发证券股份有限公司深圳后海证券营业部,1,0.0,0,568.21,1,美利云
