AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex,default_url,larger_url,moblie_url
39,2,681,-84,1,6,狮子王,47015,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAcSu9AAB5AWR8wT0471.jpg,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAEZEjAAA3qvDbjpI219.jpg
38,1,306,-92,2,13,扫毒2：天地对决,103309,,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg
33,2,160,-92,3,0,银河补习班,7680,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-uAbozEAABvpzZmtrY289.jpg,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-yAE2tyAAA0WxxLhi4328.jpg
37,1,152,-85,4,20,蜘蛛侠：英雄远征,134450,,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg
35,2,60,-80,5,13,爱宠大机密2,13411,,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg
34,1,41,-72,6,6,命运之夜——天之杯2：失去之蝶,2614,,http://images.entgroup.cn/group2/M00/02/84/wKgAS1z3LxCASqHNAAB_vcNHHmg618.jpg,,http://images.entgroup.cn/group2/M00/02/84/wKgASlz3LvyAQxXGAAA8Sq2lL1I001.jpg
47,1,26,-81,7,27,千与千寻,48184,,http://images.entgroup.cn/group2/M00/00/61/wKgAS1znzaWAHnbeAABJYKUlPr4112.jpg,http://images.entgroup.cn/group2/M00/02/87/wKgASl0Qcy6ABBXbAALO5W4bOCk848.jpg,http://images.entgroup.cn/group2/M00/00/A4/wKgAS1zn18eAE9zOAAAj0taUaOo269.jpg
43,3,25,525,8,-8,哪吒之魔童降世,148,,http://images.entgroup.cn/group2/M00/02/88/wKgAS10dmvWAA16iAABxYqaJvK0494.jpg,,http://images.entgroup.cn/group2/M00/02/88/wKgASl0dmuuACeTwAAA2rWegdhs795.jpg
57,1,15,-61,9,6,机动战士高达NT,779,,http://images.entgroup.cn/group2/M00/02/83/wKgASlz1x5WANLYmAABs1z_NQPM167.jpg,,http://images.entgroup.cn/group2/M00/02/83/wKgASlz1x5WAfbWkAAAzYiL56V0040.jpg
64,0,13,-77,10,6,素人特工,2169,,http://images.entgroup.cn/group1/M00/05/0F/wKgASV0e7xeAHa37AAB3JOYno00861.jpg,http://images.entgroup.cn/group1/M00/05/0F/wKgASV0e8JmAQiVXAAL3SSoMeKs144.jpg,http://images.entgroup.cn/group1/M00/05/0F/wKgASV0e7xeAD_2PAAA7EMym28k320.jpg
