BoxOffice,Irank,MovieName,boxPer,default_url,larger_url,moblie_url,movieDay,sumBoxOffice,time
707.40,1,狮子王,44.13,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAcSu9AAB5AWR8wT0471.jpg,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAEZEjAAA3qvDbjpI219.jpg,6,47041.32,2019-07-17 01:49:38
315.75,2,扫毒2：天地对决,19.70,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg,13,103319.34,2019-07-17 01:49:38
172.98,3,银河补习班,10.79,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-uAbozEAABvpzZmtrY289.jpg,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-yAE2tyAAA0WxxLhi4328.jpg,0,7693.25,2019-07-17 01:49:38
157.13,4,蜘蛛侠：英雄远征,9.80,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg,20,134455.62,2019-07-17 01:49:38
62.79,5,爱宠大机密2,3.92,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg,13,13413.73,2019-07-17 01:49:38
42.67,6,命运之夜——天之杯2：失去之蝶,2.66,http://images.entgroup.cn/group2/M00/02/84/wKgAS1z3LxCASqHNAAB_vcNHHmg618.jpg,,http://images.entgroup.cn/group2/M00/02/84/wKgASlz3LvyAQxXGAAA8Sq2lL1I001.jpg,6,2614.98,2019-07-17 01:49:38
27.65,7,千与千寻,1.73,http://images.entgroup.cn/group2/M00/00/61/wKgAS1znzaWAHnbeAABJYKUlPr4112.jpg,http://images.entgroup.cn/group2/M00/02/87/wKgASl0Qcy6ABBXbAALO5W4bOCk848.jpg,http://images.entgroup.cn/group2/M00/00/A4/wKgAS1zn18eAE9zOAAAj0taUaOo269.jpg,27,48185.74,2019-07-17 01:49:38
25.33,8,哪吒之魔童降世,1.58,http://images.entgroup.cn/group2/M00/02/88/wKgAS10dmvWAA16iAABxYqaJvK0494.jpg,,http://images.entgroup.cn/group2/M00/02/88/wKgASl0dmuuACeTwAAA2rWegdhs795.jpg,-8,148.97,2019-07-17 01:49:38
15.16,9,机动战士高达NT,0.95,http://images.entgroup.cn/group2/M00/02/83/wKgASlz1x5WANLYmAABs1z_NQPM167.jpg,,http://images.entgroup.cn/group2/M00/02/83/wKgASlz1x5WAfbWkAAAzYiL56V0040.jpg,6,779.13,2019-07-17 01:49:38
13.08,10,素人特工,0.82,http://images.entgroup.cn/group1/M00/05/0F/wKgASV0e7xeAHa37AAB3JOYno00861.jpg,http://images.entgroup.cn/group1/M00/05/0F/wKgASV0e8JmAQiVXAAL3SSoMeKs144.jpg,http://images.entgroup.cn/group1/M00/05/0F/wKgASV0e7xeAD_2PAAA7EMym28k320.jpg,6,2169.18,2019-07-17 01:49:38
63.05,11,其它,1.00,,,,0,0.00,2019-07-17 01:49:38
