broker,count,bamount,bcount,samount,scount,top3
中信证券股份有限公司北京金融大街证券营业部,2,5262.38,2,0.0,0,德新交运
国泰君安证券股份有限公司顺德东乐路证券营业部,1,1750.98,1,0.0,0,东方金钰
长城证券股份有限公司仙桃钱沟路证券营业部,6,3870.44,5,775.73,1,"华仪电气,九鼎投资,德新交运,"
第一创业证券股份有限公司上海国展路证券营业部,4,957.31,3,463.18,1,"亚士创能,柘中股份,新元科技"
华鑫证券有限责任公司北京菜市口大街证券营业部,3,1981.66,2,1790.08,1,"鼎胜新材,东方金钰,建科院"
中泰证券股份有限公司厦门厦禾路证券营业部,1,199.55,1,0.0,0,亚士创能
华鑫证券有限责任公司苏州总官堂路证券营业部,1,899.99,1,0.0,0,华仪电气
国泰君安证券股份有限公司南京太平南路证券营业部,11,5693.31,7,2877.8,4,"通产丽星,摩登大道,德新交运,"
中信建投证券股份有限公司衡阳解放西路证券营业部,1,505.06,1,0.0,0,海正药业
方正证券股份有限公司上海杨高南路证券营业部,17,8017.16,10,5998.47,7,"泰永长征,爱朋医疗,湖南盐业,"
平安证券股份有限公司北京东花市证券营业部,14,3134.04,6,5396.72,8,"新农股份,隆利科技,亚士创能,"
中信证券股份有限公司上海漕溪北路证券营业部,5,1654.71,3,1210.35,2,"西安旅游,同兴达,华仪电气"
联讯证券股份有限公司上海长宁路证券营业部,3,730.44,1,915.67,2,"德新交运,中青宝"
申万宏源证券有限公司上海静安区延长中路证券营业部,1,438.44,1,0.0,0,海正药业
平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,19,4317.37,11,2633.39,8,"超华科技,全新好,宇信科技,"
华福证券有限责任公司安溪民主路证券营业部,3,840.37,3,0.0,0,"华仪电气,超声电子,大连圣亚"
招商证券股份有限公司西安曲江新区证券营业部,3,1635.5,2,428.54,1,"德新交运,杰恩设计"
招商证券股份有限公司深圳南山南油大道证券营业部,5,846.88,2,3003.03,3,"海正药业,贝通信,闻泰科技"
安信证券股份有限公司杭州滨盛路证券营业部,1,357.62,1,0.0,0,东方金钰
国泰君安证券股份有限公司上海九江路证券营业部,2,418.03,2,0.0,0,"天邑股份,亚士创能"
招商证券股份有限公司深圳后海证券营业部,15,1377.99,4,9971.46,11,"全新好,银亿股份,达华智能,"
安信证券股份有限公司连云港郁州北路证券营业部,1,369.27,1,0.0,0,海正药业
财通证券股份有限公司客户资产管理部,1,0.0,0,519.34,1,亚士创能
联讯证券股份有限公司北京房山西路证券营业部,1,0.0,0,528.2,1,东方金钰
招商证券股份有限公司深圳益田路免税商务大厦证券营业部,3,0.0,0,1179.24,3,"天邑股份,华仪电气"
广州证券股份有限公司佛山顺德新桂路证券营业部,1,0.0,0,521.16,1,德新交运
西南证券股份有限公司客户资产管理部,1,0.0,0,738.05,1,海正药业
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,131,42422.22,77,26074.3,54,"宝馨科技,天风证券,中信建投,"
中国中投证券有限责任公司无锡清扬路证券营业部,21,11024.72,12,5131.85,9,"科泰电源,柘中股份,中环装备,"
华泰证券股份有限公司南京解放路证券营业部,1,0.0,0,293.66,1,华仪电气
海通证券股份有限公司上海牡丹江路证券营业部,2,0.0,0,860.26,2,"华仪电气,德新交运"
华龙证券股份有限公司乌鲁木齐红山路证券营业部,1,0.0,0,341.85,1,东方金钰
广发证券股份有限公司北京鲁谷路证券营业部,1,0.0,0,315.5,1,亚士创能
中信证券股份有限公司天津分公司,3,136.49,1,506.94,2,"金智科技,柘中股份,华仪电气"
国信证券股份有限公司深圳红岭中路证券营业部,2,0.0,0,3976.16,2,"上海莱士,海正药业"
中信证券股份有限公司临安钱王街证券营业部,1,0.0,0,346.42,1,德新交运
江海证券有限公司双鸭山西平行路证券营业部,1,0.0,0,235.68,1,东方金钰
华鑫证券有限责任公司常州晋陵中路证券营业部,1,0.0,0,253.81,1,亚士创能
申万宏源证券有限公司上海闵行区东川路证券营业部,2,0.0,0,6079.56,2,"闻泰科技,海正药业"
平安证券股份有限公司银川凤凰北街证券营业部,7,878.84,4,1231.04,3,"亚振家居,湖南盐业,朗迪集团,"
华泰证券股份有限公司厦门厦禾路证券营业部,8,2266.96,5,1396.26,3,"亚振家居,春兴精工,汉嘉设计,"
信达证券股份有限公司厦门分公司,5,1905.58,4,432.56,1,"达华智能,摩登大道,亚振家居"
平安证券股份有限公司上海分公司,11,2324.68,7,1020.12,4,"新疆交建,中信建投,新潮能源,"
中国银河证券股份有限公司北京学院南路证券营业部,11,1810.86,5,2849.58,6,"绿庭投资,华仪电气,南京聚隆,"
中泰证券股份有限公司南京中山南路证券营业部,1,0.0,0,1962.64,1,亚振家居
中信证券股份有限公司桐乡复兴北路证券营业部,1,0.0,0,221.4,1,亚振家居
西藏东方财富证券股份有限公司拉萨市北京中路证券营业部,1,272.95,1,0.0,0,福达合金
华泰证券股份有限公司烟台锦华街证券营业部,1,228.7,1,0.0,0,福达合金
财富证券有限责任公司杭州庆春路证券营业部,38,10234.08,23,6864.5,15,"华控赛格,华森制药,宇晶股份,"
方正证券股份有限公司北京安定门外大街证券营业部,1,0.0,0,2557.51,1,福达合金
中国银河证券股份有限公司绍兴证券营业部,7,3413.02,5,1464.42,2,"深南股份,三变科技,达华智能,"
方正证券股份有限公司温州小南路证券营业部,8,8309.82,4,9330.62,4,睿能科技
湘财证券股份有限公司台州祥和路证券营业部,3,0.0,0,1675.08,3,"汉嘉设计,德新交运,福达合金"
国联证券股份有限公司湖北分公司,7,7963.18,4,6848.41,3,睿能科技
华泰证券股份有限公司上海武定路证券营业部,4,848.83,3,376.22,1,"通化金马,中青宝,泰禾光电,"
长城证券股份有限公司上海延安西路证券营业部,4,3295.69,2,2344.23,2,"睿能科技,中体产业"
浙商证券股份有限公司宁波四明中路证券营业部,1,0.0,0,302.06,1,福达合金
中山证券有限责任公司厦门湖滨南路证券营业部,6,5578.27,3,6013.94,3,睿能科技
光大证券股份有限公司上海中兴路证券营业部,2,2709.31,2,0.0,0,睿能科技
国泰君安证券股份有限公司上海江苏路证券营业部,4,190.79,1,7957.31,3,"东方通,睿能科技"
华创证券有限责任公司上海芦恒路证券营业部,1,0.0,0,2033.22,1,睿能科技
方正证券股份有限公司温州永中西路证券营业部,1,0.0,0,1339.53,1,睿能科技
平安证券股份有限公司珠海园林路证券营业部,2,599.58,1,299.53,1,全新好
华泰证券股份有限公司天津东丽开发区二纬路证券营业部,2,2790.23,2,0.0,0,华控赛格
中国中投证券有限责任公司汉中滨江路证券营业部,4,1489.76,2,1552.12,2,西安旅游
广发证券股份有限公司泉州涂门街证券营业部,4,1630.0,3,1076.47,1,"南纺股份,全新好,荣安地产,"
西藏东方财富证券股份有限公司深圳益田路证券营业部,3,7110.2,3,0.0,0,"银亿股份,新潮能源,华控赛格"
中航证券有限公司广州天河北路证券营业部,10,2915.94,5,3124.71,5,"西安旅游,天邑股份,光弘科技,"
长江证券股份有限公司上海世纪大道证券营业部,5,4064.54,4,686.41,1,"深南股份,中青宝,华控赛格,"
国泰君安证券股份有限公司成都天府二街证券营业部,4,736.21,2,960.74,2,"西安旅游,赛腾股份"
中国银河证券股份有限公司台州引泉路证券营业部,2,823.1,2,0.0,0,"西安旅游,盛天网络"
海通证券股份有限公司上海黄浦区福州路证券营业部,2,430.39,1,680.91,1,"天邑股份,全新好"
安信证券股份有限公司上海杨浦区殷行路证券营业部,5,960.52,1,3752.13,4,"超频三,华控赛格,华源控股"
民生证券股份有限公司成都航空路证券营业部,1,0.0,0,195.0,1,西安旅游
国泰君安证券股份有限公司重庆九尺坎证券营业部,9,4125.8,6,2584.7,3,"科泰电源,泰永长征,辉隆股份,"
西部证券股份有限公司西安未央路第一证券营业部,1,0.0,0,183.68,1,西安旅游
华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,7,10350.86,5,1654.92,2,"上海莱士,德新交运,超频三,"
华泰证券股份有限公司郑州经三路证券营业部,4,719.51,2,867.77,2,"新疆交建,宇晶股份,华控赛格"
国金证券股份有限公司天津南马路证券营业部,1,0.0,0,143.33,1,西安旅游
国融证券股份有限公司杭州江晖路证券营业部,10,1303.7,4,1773.65,6,"岱勒新材,三变科技,东方网络,"
海通证券股份有限公司深圳分公司华富路证券营业部,10,2017.35,5,3892.37,5,"华控赛格,亚振家居,超讯通信,"
财达证券股份有限公司石家庄建设南大街证券营业部,1,0.0,0,141.56,1,西安旅游
海通证券股份有限公司蚌埠中荣街证券营业部,10,5632.06,4,6733.1,6,"华控赛格,天风证券,通产丽星,"
兴业证券股份有限公司深圳分公司,3,3012.09,1,683.13,2,"上海莱士,天瑞仪器,西安旅游"
华泰证券股份有限公司杭州求是路证券营业部,8,629.42,4,997.74,4,"中弘退,三变科技"
中国中投证券有限责任公司南京太平南路证券营业部,8,811.43,3,792.65,5,"华控赛格,中弘退,华铭智能"
国信证券股份有限公司广州东风中路证券营业部,3,220.42,3,0.0,0,中弘退
中国中投证券有限责任公司宁波江东北路证券营业部,2,93.92,1,95.92,1,中弘退
中国银河证券股份有限公司上海黄浦区马当路证券营业部,3,884.33,3,0.0,0,"汉嘉设计,亚振家居,长源电力"
中信建投证券股份有限公司成都马家花园证券营业部,1,0.0,0,345.08,1,长源电力
万联证券股份有限公司广州荔湾分公司,2,607.6,1,757.98,1,"荣安地产,中弘退"
广发证券股份有限公司黄石颐阳路证券营业部,1,0.0,0,246.13,1,长源电力
五矿证券有限公司杭州中山北路证券营业部,3,0.0,0,1583.72,3,"中弘退,嘉化能源"
国联证券股份有限公司无锡县前东街证券营业部,2,0.0,0,311.48,2,"中弘退,超频三"
海通证券股份有限公司深圳景田路证券营业部,1,0.0,0,134.05,1,长源电力
华安证券股份有限公司安庆龙山路证券营业部,1,0.0,0,86.4,1,中弘退
中信建投证券股份有限公司黄石广场路证券营业部,1,0.0,0,126.66,1,长源电力
广发证券股份有限公司长春民康路证券营业部,1,0.0,0,75.09,1,中弘退
东莞证券股份有限公司东莞横沥中山路证券营业部,3,7704.98,2,2778.93,1,"上海莱士,银亿股份"
第一创业证券股份有限公司深圳总部证券营业部,4,2210.79,3,762.5,1,"汉嘉设计,特尔佳"
平安证券股份有限公司深圳红岭基金产业园证券营业部,3,5215.87,1,7425.07,2,"通产丽星,多喜爱,宇信科技"
东海证券股份有限公司南京洪武北路证券营业部,3,2069.12,2,959.78,1,"贝通信,银亿股份"
华泰证券股份有限公司深圳彩田路证券营业部,2,3082.04,1,384.01,1,"通产丽星,实丰文化"
深股通专用,15,15054.84,8,3971.71,7,"汤臣倍健,银亿股份,游族网络,"
安信证券股份有限公司湖南分公司,1,315.7,1,0.0,0,特尔佳
平安证券股份有限公司深圳蛇口招商路招商大厦证券营业部,5,2539.05,3,413.47,2,"通产丽星,亚太实业,天山生物,"
中泰证券股份有限公司奉化南山路证券营业部,2,1083.03,2,0.0,0,"华铭智能,银亿股份"
中国银河证券股份有限公司大连人民路证券营业部,2,600.64,2,0.0,0,"宇信科技,特尔佳"
华鑫证券有限责任公司泉州南山南路证券营业部,2,1946.65,1,1789.37,1,通产丽星
中泰证券股份有限公司深圳分公司,6,1810.71,5,463.61,1,"科信技术,银亿股份,超频三,"
光大证券股份有限公司江门发展大道证券营业部,1,225.1,1,0.0,0,特尔佳
光大证券股份有限公司宁波中山西路证券营业部,7,4146.4,3,9125.46,4,"爱朋医疗,通产丽星,银亿股份,"
长城证券股份有限公司北京知春路证券营业部,1,0.0,0,2307.07,1,通产丽星
西藏东方财富证券股份有限公司山南香曲东路证券营业部,2,0.0,0,640.59,2,"特尔佳,金力永磁"
华鑫证券有限责任公司上海曹杨路证券营业部,1,0.0,0,1303.67,1,通产丽星
中国银河证券股份有限公司宁波大庆南路证券营业部,2,0.0,0,520.12,2,"银亿股份,*ST毅达"
华鑫证券有限责任公司南昌红谷中大道证券营业部,4,548.34,1,2436.03,3,"亚振家居,深南股份,通产丽星"
华泰证券股份有限公司上海共和新路证券营业部,1,0.0,0,270.93,1,银亿股份
华鑫证券有限责任公司深圳分公司,1,0.0,0,205.85,1,特尔佳
海通证券股份有限公司扬州汶河南路证券营业部,1,0.0,0,1214.78,1,通产丽星
