BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
1187.40,1,海王,33.79,19,165657.91,2018-12-25 14:22:00
920.86,2,蜘蛛侠：平行宇宙,26.21,5,21507.21,2018-12-25 14:22:00
437.02,3,天气预爆,12.44,5,10153.63,2018-12-25 14:22:00
346.90,4,叶问外传：张天志,9.87,5,6101.02,2018-12-25 14:22:00
208.71,5,武林怪兽,5.94,5,6201.62,2018-12-25 14:22:00
150.86,6,龙猫,4.29,12,14272.37,2018-12-25 14:22:00
54.76,7,印度合伙人,1.56,12,6276.98,2018-12-25 14:22:00
28.66,8,狗十三,0.82,19,4865.69,2018-12-25 14:22:00
21.88,9,无名之辈,0.62,40,79216.55,2018-12-25 14:22:00
19.59,10,又是一年三月三,0.56,6,709.24,2018-12-25 14:22:00
137.26,11,其它,1.00,0,0.00,2018-12-25 14:22:00
