BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
7238.44,1,毒液：致命守护者,46.93,10,138733.75,2018-11-18 16:50:53
5021.47,2,神奇动物：格林德沃之罪,32.56,3,24325.74,2018-11-18 16:50:53
1718.66,3,无名之辈,11.14,3,5206.60,2018-11-18 16:50:53
537.83,4,名侦探柯南：零的执行人,3.49,10,11895.72,2018-11-18 16:50:53
455.96,5,恐龙王,2.96,9,2090.23,2018-11-18 16:50:53
207.37,6,你好，之华,1.34,10,7338.01,2018-11-18 16:50:53
90.01,7,雪怪大冒险,0.58,31,7461.89,2018-11-18 16:50:53
40.20,8,胡桃夹子和四个王国,0.26,17,11189.25,2018-11-18 16:50:53
14.72,9,超时空大冒险,0.10,-5,37.05,2018-11-18 16:50:53
11.24,10,两个俏公主,0.07,9,210.10,2018-11-18 16:50:53
88.41,11,其它,1.00,0,0.00,2018-11-18 16:50:53
