BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
3642.72,1,海王,62.89,12,138298.93,2018-12-18 23:09:57
669.34,2,龙猫,11.56,5,10414.79,2018-12-18 23:09:57
421.46,3,印度合伙人,7.28,5,4574.61,2018-12-18 23:09:57
404.18,4,中国合伙人2,6.98,1,405.02,2018-12-18 23:09:57
182.47,5,网络谜踪,3.15,5,2279.36,2018-12-18 23:09:57
150.58,6,无名之辈,2.60,33,78671.67,2018-12-18 23:09:57
122.37,7,狗十三,2.11,12,4360.99,2018-12-18 23:09:57
48.73,8,绿毛怪格林奇,0.84,5,2060.22,2018-12-18 23:09:57
41.46,9,毒液：致命守护者,0.72,40,186720.42,2018-12-18 23:09:57
21.62,10,午夜整容室,0.37,5,188.70,2018-12-18 23:09:57
87.21,11,其它,1.00,0,0.00,2018-12-18 23:09:57
