code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000007,全新好,10.0529,6914.90,5313.87,1601.03,日涨幅偏离值达到7%的前五只证券,0.36,0.11,2018-12-11
000045,深纺织A,10.0629,4292.53,3030.28,1262.25,日涨幅偏离值达到7%的前五只证券,0.21,0.09,2018-12-11
000571,新大洲A,10.089,2326.66,1850.44,476.22,日涨幅偏离值达到7%的前五只证券,0.37,0.09,2018-12-11
000603,盛达矿业,8.172,8411.09,6447.07,1964.02,日涨幅偏离值达到7%的前五只证券,0.29,0.09,2018-12-11
000892,欢瑞世纪,10.0209,3730.03,2115.45,1614.58,日涨幅偏离值达到7%的前五只证券,0.30,0.23,2018-12-11
000979,中弘退,3.8462,1327.37,671.09,656.28,退市整理期,0.38,0.37,2018-12-11
002017,东信和平,10.0143,6058.28,3281.56,2776.72,日涨幅偏离值达到7%的前五只证券,0.13,0.11,2018-12-11
002017,东信和平,10.0143,7225.29,4196.21,3029.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.11,0.08,2018-12-11
002098,浔兴股份,10.0462,6625.75,4195.97,2429.78,日涨幅偏离值达到7%的前五只证券,0.10,0.06,2018-12-11
002243,通产丽星,9.9723,1197.77,889.74,308.03,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.35,2018-12-11
002252,上海莱士,-9.9937,423.77,105.30,318.47,日跌幅偏离值达到7%的前五只证券,0.33,1.00,2018-12-11
002252,上海莱士,-9.9937,6918.87,3024.44,3894.43,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.77,0.99,2018-12-11
002451,摩恩电气,9.9656,6106.88,3670.88,2436.00,日涨幅偏离值达到7%的前五只证券,0.09,0.06,2018-12-11
002606,大连电瓷,9.9251,7805.55,5951.32,1854.23,日涨幅偏离值达到7%的前五只证券,0.20,0.06,2018-12-11
002848,高斯贝尔,7.5908,11000.43,5558.98,5441.44,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.06,0.05,2018-12-11
002848,高斯贝尔,7.5908,4754.91,2726.30,2028.62,日换手率达到20%的前五只证券,0.07,0.05,2018-12-11
002856,美芝股份,-0.4314,9792.17,3163.79,6628.37,日换手率达到20%的前五只证券,0.16,0.34,2018-12-11
002902,铭普光磁,10.0211,5589.08,2412.98,3176.11,日涨幅偏离值达到7%的前五只证券,0.06,0.08,2018-12-11
002902,铭普光磁,10.0211,10583.59,5325.43,5258.16,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.07,0.06,2018-12-11
002902,铭普光磁,10.0211,5589.08,2412.98,3176.11,日换手率达到20%的前五只证券,0.06,0.08,2018-12-11
002941,新疆交建,0.8962,9122.17,3718.65,5403.51,日换手率达到20%的前五只证券,0.05,0.07,2018-12-11
002942,新农股份,10.0109,766.56,752.74,13.82,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.02,2018-12-11
002943,宇晶股份,-0.8728,6546.47,1828.21,4718.26,日换手率达到20%的前五只证券,0.05,0.12,2018-12-11
300025,华星创业,9.9352,4576.93,2981.02,1595.91,日涨幅偏离值达到7%的前五只证券,0.28,0.15,2018-12-11
300063,天龙集团,9.949,4896.20,3221.49,1674.71,日涨幅偏离值达到7%的前五只证券,0.25,0.13,2018-12-11
300063,天龙集团,9.949,6088.54,4249.99,1838.55,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.19,0.08,2018-12-11
300104,乐视网,9.9237,12971.30,10033.55,2937.75,日涨幅偏离值达到7%的前五只证券,0.16,0.05,2018-12-11
300141,和顺电气,10.0567,3223.86,1874.81,1349.05,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.11,0.08,2018-12-11
300210,森远股份,-5.501,5627.16,2637.22,2989.93,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.07,0.08,2018-12-11
300319,麦捷科技,9.9494,9880.70,3237.41,6643.29,日涨幅偏离值达到7%的前五只证券,0.10,0.21,2018-12-11
300325,德威新材,10.1449,6833.52,3191.24,3642.28,日涨幅偏离值达到7%的前五只证券,0.10,0.12,2018-12-11
300362,天翔环境,-10.0115,85.16,17.99,67.17,日跌幅偏离值达到7%的前五只证券,0.27,1.00,2018-12-11
300644,南京聚隆,6.6573,2368.10,1251.23,1116.86,日换手率达到20%的前五只证券,0.07,0.06,2018-12-11
300674,宇信科技,1.6118,4120.36,1654.35,2466.02,日换手率达到20%的前五只证券,0.06,0.09,2018-12-11
300698,万马科技,2.5117,1657.49,793.19,864.30,日换手率达到20%的前五只证券,0.05,0.05,2018-12-11
300752,隆利科技,10.0094,1726.91,1675.15,51.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.86,0.03,2018-12-11
600152,维科技术,10.0478,5827.59,3056.76,2770.83,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.17,0.16,2018-12-11
600165,新日恒力,10.0806,9646.53,6901.87,2744.65,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.30,0.12,2018-12-11
600556,ST慧球,4.908,232.63,152.34,80.28,ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到15%的证券,1.00,0.53,2018-12-11
600775,南京熊猫,9.9338,7231.45,3701.27,3530.18,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.08,0.08,2018-12-11
600831,广电网络,10.0299,6378.27,3666.01,2712.26,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.10,0.07,2018-12-11
603187,海容冷链,1.1686,4111.66,1803.51,2308.15,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.09,2018-12-11
603220,贝通信,5.9233,6376.28,3184.21,3192.07,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.05,0.05,2018-12-11
603726,朗迪集团,-10,9260.47,3035.94,6224.53,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.27,0.55,2018-12-11
603976,正川股份,5.5056,12903.74,7132.68,5771.06,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.28,0.22,2018-12-11
