BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
7395.44,1,海王,84.60,5,81342.99,2018-12-11 23:58:23
631.05,2,无名之辈,7.22,26,75792.00,2018-12-11 23:58:23
295.89,3,狗十三,3.38,5,2566.71,2018-12-11 23:58:23
136.63,4,毒液：致命守护者,1.56,33,185981.85,2018-12-11 23:58:23
77.91,5,惊涛飓浪,0.89,5,950.46,2018-12-11 23:58:23
65.83,6,无敌破坏王2：大闹互联网,0.75,19,26754.29,2018-12-11 23:58:23
61.24,7,憨豆特工3,0.70,19,16970.37,2018-12-11 23:58:23
13.76,8,神奇动物：格林德沃之罪,0.16,26,39797.38,2018-12-11 23:58:23
12.47,9,远去的牧歌,0.14,58,279.43,2018-12-11 23:58:23
6.02,10,老爸102岁,0.07,12,2989.52,2018-12-11 23:58:23
45.92,11,其它,1.00,0,0.00,2018-12-11 23:58:23
