BoxOffice,Irank,MovieName,boxPer,default_url,larger_url,moblie_url,movieDay,sumBoxOffice,time
621.79,1,银河补习班,36.59,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-uAbozEAABvpzZmtrY289.jpg,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-yAE2tyAAA0WxxLhi4328.jpg,6,48523.19,2019-07-23 08:55:26
389.08,2,狮子王,22.90,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAcSu9AAB5AWR8wT0471.jpg,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAEZEjAAA3qvDbjpI219.jpg,12,69662.30,2019-07-23 08:55:26
172.33,3,扫毒2：天地对决,10.14,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg,19,120573.32,2019-07-23 08:55:26
119.28,4,哪吒之魔童降世,7.02,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46APIr0AABerRRMHII502.jpg,,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46AQrVlAAAvXEUyu7c421.jpg,-2,6057.04,2019-07-23 08:55:26
118.32,5,灰猴,6.96,http://images.entgroup.cn/group2/M00/02/8A/wKgAS101Wa2ALIMbAABj3znaa5c665.jpg,,http://images.entgroup.cn/group2/M00/02/8A/wKgASl01WZuALNUNAAA055hLvWg129.jpg,1,198.72,2019-07-23 08:55:26
89.25,6,蜘蛛侠：英雄远征,5.25,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg,26,138969.64,2019-07-23 08:55:26
33.19,7,爱宠大机密2,1.95,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg,19,14594.81,2019-07-23 08:55:26
29.33,8,游戏人生 零,1.73,http://images.entgroup.cn/group1/M00/05/10/wKgASV0in16AWMSTAACaZ1wCL40205.jpg,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0in16AfRFLAABOgD9riKw553.jpg,5,1140.02,2019-07-23 08:55:26
25.22,9,未来机器城,1.48,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9K-AY9jFAABTbD9XCac287.jpg,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9K-AMAkbAAAso5MpAzg813.jpg,5,1421.89,2019-07-23 08:55:26
16.85,10,怨灵3：看不见的小孩,0.99,http://images.entgroup.cn/group1/M00/05/06/wKgASVz4c6GABl4WAABdmYKyIVA713.jpg,,http://images.entgroup.cn/group1/M00/05/06/wKgASVz4c6GAfAD-AAAr-GcqRrE913.jpg,5,913.87,2019-07-23 08:55:26
84.59,11,其它,1.00,,,,0,0.00,2019-07-23 08:55:26
