code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
688019,N安集,400.2,196.01,156.82,152.0,243.2,110.0,39.19,177.91,0.0,86.19,339.88,99768.0,51298.0,48470.0,1582280832.0,0.53,半导体,上海,0.12,22.69,104.1,158.6,401.43,3449.0,0.025,78.19,,
688122,N超导,266.6,54.99,39.99,41.0,65.6,28.88,15.0,141.53,0.0,83.4,244.8,331102.0,182789.0,148312.0,1358249472.0,4.41,小金属,陕西,0.4,21.83,242.66,41.02,267.87,4097.0,0.0204,90.41,,
688016,N心脉,242.4,158.3,112.07,142.0,219.03,101.0,46.23,67.01,0.0,84.51,255.31,118155.0,61678.0,56476.0,1663379456.0,0.72,医疗保健,上海,0.14,22.13,113.94,140.78,243.69,3794.0,0.0223,56.73,,
688008,N澜起,202.1,74.92,50.12,91.3,97.2,66.3,24.8,93.74,0.0,78.42,124.6,583307.0,291261.0,292045.0,4564779008.0,11.3,半导体,上海,0.74,55.73,846.46,78.26,203.37,4720.0,0.0166,13.0,,
688012,N中微,179.3,81.03,52.02,109.8,125.0,62.0,29.01,782.83,0.0,75.41,217.17,365202.0,190952.0,174249.0,3090029312.0,5.35,专用机械,上海,0.48,39.24,433.4,84.61,180.59,4433.0,0.017,30.69,,
688066,N航天,175.9,47.6,30.35,43.0,68.5,30.6,17.25,0.0,0.0,76.53,219.71,288122.0,148543.0,139578.0,1201782528.0,1.66,软件服务,北京,0.38,17.92,79.01,41.71,177.22,4256.0,0.018000000000000002,55.56,,
688002,N睿创,151.0,50.2,30.2,59.1,60.28,30.0,20.0,172.66,0.0,80.48,151.4,415004.0,240698.0,174305.0,1895110912.0,4.45,通信设备,山东,0.52,25.89,223.39,45.66,152.27,4348.0,0.0185,67.33,,
688015,N交控,134.2,37.9,21.72,40.8,49.56,24.0,16.18,0.0,0.0,75.93,157.97,248596.0,138852.0,109744.0,840358912.0,1.6,运输设备,北京,0.33,12.41,60.64,33.8,135.51,4099.0,0.0185,57.92,,
688001,N华兴,128.8,55.5,31.24,55.4,72.02,39.59,24.26,82.61,0.0,80.03,133.68,290108.0,153434.0,136673.0,1507397632.0,4.01,专用机械,江苏,0.36,20.12,222.56,51.96,130.04,4159.0,0.0192,40.19,,
688088,N虹软,127.0,65.55,36.67,86.5,86.5,45.0,28.88,218.71,0.0,79.57,143.7,302421.0,160620.0,141800.0,1860612736.0,4.06,软件服务,浙江,0.38,24.91,266.13,61.52,128.25,4328.0,0.0184,45.67,,
