broker,count,bamount,bcount,samount,scount,top3
招商证券股份有限公司上海牡丹江路证券营业部,13,5466.0,6,4461.44,7,"宝鼎科技,九鼎新材,漫步者,"
中国中投证券有限责任公司深圳爱国路证券营业部,15,10433.47,11,5156.45,4,"任子行,左江科技,八方股份,"
国泰君安证券股份有限公司兴义瑞金大道证券营业部,2,1485.04,2,0.0,0,"八方股份,长城动漫"
海通证券股份有限公司深圳分公司华富路证券营业部,11,3530.71,6,3981.3,5,"奥佳华,博思软件,深大通,"
平安证券股份有限公司上海零陵路证券营业部,1,557.69,1,0.0,0,日播时尚
华泰证券股份有限公司无锡解放西路证券营业部,12,2327.17,7,1741.55,5,"八方股份,宏达矿业,退市大控,"
国元证券股份有限公司佛山季华五路证券营业部,2,982.02,1,1295.56,1,八方股份
安信证券股份有限公司潮州城新西路证券营业部,1,546.06,1,0.0,0,日播时尚
招商证券股份有限公司深圳益田路免税商务大厦证券营业部,7,1234.38,3,1331.72,4,"祥鑫科技,永冠新材,中润资源,"
东方证券股份有限公司上海浦东新区银城中路证券营业部,3,2056.22,1,6327.42,2,"新易盛,八方股份"
海通证券股份有限公司上海建国西路证券营业部,1,462.13,1,0.0,0,日播时尚
招商证券股份有限公司上海娄山关路证券营业部,1,0.0,0,1899.54,1,八方股份
东吴证券股份有限公司苏州吴中区木渎镇证券营业部,2,842.51,2,0.0,0,"宇瞳光学,日播时尚"
长城证券股份有限公司杭州文一西路证券营业部,1,0.0,0,1388.75,1,八方股份
长城证券股份有限公司武汉关山大道证券营业部,2,654.78,1,12753.1,1,"尚纬股份,日播时尚"
湘财证券股份有限公司长沙韶山路证券营业部,1,139.45,1,0.0,0,退市大控
光大证券股份有限公司宁海气象北路证券营业部,3,604.5,2,224.98,1,"新农股份,永冠新材"
东兴证券股份有限公司杭州绍兴路证券营业部,1,0.0,0,4106.49,1,日播时尚
海通证券股份有限公司上虞市民大道证券营业部,3,67.0,3,0.0,0,"印纪退,退市大控"
国盛证券有限责任公司深圳福华三路证券营业部,1,0.0,0,3429.71,1,日播时尚
华泰证券股份有限公司上海杨浦区国宾路证券营业部,3,318.29,1,476.33,2,"永冠新材,界龙实业"
华金证券股份有限公司浙江分公司,1,0.0,0,2561.94,1,日播时尚
方正证券股份有限公司宁波解放北路证券营业部,5,24.0,1,153.45,4,"退市大控,印纪退"
中国银河证券股份有限公司湖州证券营业部,1,0.0,0,504.5,1,永冠新材
平安证券股份有限公司浙江分公司,1,0.0,0,2134.56,1,日播时尚
中国中投证券有限责任公司宁波江东北路证券营业部,9,73.95,2,320.05,7,"退市大控,印纪退"
东北证券股份有限公司宁波分公司,3,23.99,1,50.97,2,"退市大控,印纪退"
华泰证券股份有限公司杭州求是路证券营业部,13,790.19,6,886.03,7,"金一文化,退市大控,印纪退,"
