IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,RapIndex,WomIndex
1,冰雪奇缘2,1037,38298,36,2,4,,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,-92,,
2,大约在冬季,107,18636,36,1,11,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODtCAVXrLAAJFKzuxWp4698.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0WAWwdAAABWbKpyFkU297.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0aAHz7NAAAraiOhoVM992.jpg,-92,,
3,你是凶手,84,571,34,1,4,,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaAbyecAABa1pUQyZE372.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaATEN4AAAtcTkKRlc754.jpg,-88,,
4,海上钢琴师,78,12053,36,1,11,http://images.entgroup.cn/group2/M00/02/95/wKgAS13OD4mAApl_AALmQxZXm-A367.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAB2C1AABU6MLe214739.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAQCCuAAAqn2egL_Q269.jpg,-92,,
5,决战中途岛,67,26333,35,1,18,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I01uABS0-AAMq-bbxEmM772.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAZFikAABaQKaTH2c345.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAdV3TAAAs9w8Huc0772.jpg,-93,,
6,触不可及,48,97,35,1,4,,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKAMnquAABDA-7koSY172.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKATUfpAAAgsARm8Ec066.jpg,-90,,
7,少年的你,44,153091,39,1,32,http://images.entgroup.cn/group2/M00/02/94/wKgASl27pH6Aevr_AAMDUhtCw8I903.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqS-AK9xkAACOPjzVcA4994.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqTCAFRuPAABEcjQyONQ604.jpg,-95,,
8,海林都,22,298,57,22,5,,,,-52,,
9,受益人,22,21001,37,1,18,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I0-GAaWTYAAKnybTljiQ784.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgASl23mVWAd_zgAABj3anNrQQ938.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123mWSAVOlIAAAvmMoX_ow154.jpg,-92,,
10,太阳升起的时刻,16,980,53,13,32,,http://images.entgroup.cn/group1/M00/05/25/wKgASV2pHwqAT_67AABYZrJbV6k587.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2pHwqAfkjeAAAstfO5_9E114.jpg,7,,
