code,name,bamount,bcount,samount,scount,net
603489,八方股份,31242.41,7,0.0,0,31242.41
002624,完美世界,13373.32,3,0.0,0,13373.32
000717,韶钢松山,9196.16,4,0.0,0,9196.16
002555,三七互娱,6578.07,2,2687.28,1,3890.79
300311,任子行,4559.62,3,1238.35,1,3321.27
300118,东方日升,3539.43,2,347.33,1,3192.1
300502,新易盛,3001.6,2,0.0,0,3001.6
300655,晶瑞股份,3000.0,1,0.0,0,3000.0
002967,广电计量,2480.47,1,0.0,0,2480.47
002901,大博医疗,5997.51,4,3651.15,4,2346.35
002174,游族网络,2254.08,1,0.0,0,2254.08
002369,卓翼科技,1451.55,1,0.0,0,1451.55
002212,南洋股份,1320.64,1,0.0,0,1320.64
002045,国光电器,1198.14,1,0.0,0,1198.14
000796,凯撒旅游,1157.86,2,0.0,0,1157.86
601865,福莱特,1103.81,1,0.0,0,1103.81
002353,杰瑞股份,979.68,1,0.0,0,979.68
000672,上峰水泥,2123.41,1,1208.43,1,914.98
300468,四方精创,2299.67,1,1396.93,1,902.74
300653,正海生物,700.7,1,0.0,0,700.7
000673,当代东方,460.54,1,0.0,0,460.54
300805,电声股份,0.0,0,1.68,1,-1.68
300798,锦鸡股份,0.0,0,3.79,3,-3.79
300797,钢研纳克,0.0,0,5.32,1,-5.32
300803,指南针,0.0,0,14.07,10,-14.07
000587,金洲慈航,0.67,0,111.89,1,-111.22
300796,贝斯美,0.0,0,206.22,1,-206.22
000835,长城动漫,0.0,0,230.77,1,-230.77
000677,恒天海龙,0.0,0,276.03,1,-276.03
600727,鲁北化工,0.0,0,358.55,1,-358.55
002952,亚世光电,0.35,0,391.74,1,-391.38
002862,实丰文化,0.0,0,526.65,1,-526.65
300773,拉卡拉,309.44,1,1010.01,1,-700.57
603360,百傲化学,0.0,0,714.24,1,-714.24
300417,南华仪器,0.0,0,783.67,2,-783.67
603377,东方时尚,0.0,0,878.81,1,-878.81
002892,科力尔,0.0,0,963.82,2,-963.82
002865,钧达股份,3.31,0,1149.84,1,-1146.53
300134,大富科技,0.0,0,1178.72,2,-1178.72
300661,圣邦股份,1669.05,1,3411.53,2,-1742.48
600702,舍得酒业,0.0,0,1798.01,1,-1798.01
300793,佳禾智能,0.0,0,3632.82,1,-3632.82
300642,透景生命,0.0,0,3707.85,3,-3707.85
300357,我武生物,5055.07,3,10843.08,5,-5788.01
002614,奥佳华,0.0,0,6782.56,1,-6782.56
300113,顺网科技,2391.16,1,9552.97,2,-7161.81
002607,中公教育,0.0,0,9109.51,5,-9109.51
002273,水晶光电,5137.66,2,16100.0,4,-10962.34
300433,蓝思科技,3639.1,1,18170.74,2,-14531.64
601319,中国人保,0.0,0,105680.66,5,-105680.66
