Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,冰雪奇缘2,1062.52,38323.52,4,63.66,,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,2019-11-25 01:04:24
2,大约在冬季,111.95,18640.92,11,6.71,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODtCAVXrLAAJFKzuxWp4698.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0WAWwdAAABWbKpyFkU297.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2hR0aAHz7NAAAraiOhoVM992.jpg,2019-11-25 01:04:24
3,你是凶手,88.49,575.14,4,5.30,,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaAbyecAABa1pUQyZE372.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2QDYaATEN4AAAtcTkKRlc754.jpg,2019-11-25 01:04:24
4,海上钢琴师,81.95,12057.16,11,4.91,http://images.entgroup.cn/group2/M00/02/95/wKgAS13OD4mAApl_AALmQxZXm-A367.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAB2C1AABU6MLe214739.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAQCCuAAAqn2egL_Q269.jpg,2019-11-25 01:04:24
5,决战中途岛,70.46,26337.01,18,4.22,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I01uABS0-AAMq-bbxEmM772.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAZFikAABaQKaTH2c345.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2xDPeAdV3TAAAs9w8Huc0772.jpg,2019-11-25 01:04:24
6,触不可及,49.62,99.57,4,2.97,,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKAMnquAABDA-7koSY172.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgASl3KCoKATUfpAAAgsARm8Ec066.jpg,2019-11-25 01:04:24
7,少年的你,46.28,153093.60,32,2.77,http://images.entgroup.cn/group2/M00/02/94/wKgASl27pH6Aevr_AAMDUhtCw8I903.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqS-AK9xkAACOPjzVcA4994.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqTCAFRuPAABEcjQyONQ604.jpg,2019-11-25 01:04:24
8,受益人,23.80,21002.25,18,1.43,http://images.entgroup.cn/group1/M00/05/28/wKgASV3I0-GAaWTYAAKnybTljiQ784.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgASl23mVWAd_zgAABj3anNrQQ938.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123mWSAVOlIAAAvmMoX_ow154.jpg,2019-11-25 01:04:24
9,海林都,22.25,297.93,5,1.33,,,,2019-11-25 01:04:24
10,太阳升起的时刻,15.51,980.10,32,0.93,,http://images.entgroup.cn/group1/M00/05/25/wKgASV2pHwqAT_67AABYZrJbV6k587.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2pHwqAfkjeAAAstfO5_9E114.jpg,2019-11-25 01:04:24
11,其它,96.27,0.00,0,1.00,,,,2019-11-25 01:04:24
