BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
289.27,1,神奇动物：格林德沃之罪,39.50,5,28269.01,2018-11-20 00:18:02
263.05,2,毒液：致命守护者,35.92,12,146292.61,2018-11-20 00:18:02
118.95,3,无名之辈,16.24,5,8956.29,2018-11-20 00:18:02
18.11,4,名侦探柯南：零的执行人,2.47,12,12145.34,2018-11-20 00:18:02
14.97,5,你好，之华,2.04,12,7548.46,2018-11-20 00:18:02
5.94,6,邹碧华,0.81,413,1942.93,2018-11-20 00:18:02
2.60,7,恐龙王,0.35,11,2198.33,2018-11-20 00:18:02
1.93,8,铁血战士,0.26,26,21606.01,2018-11-20 00:18:02
1.81,9,信仰者,0.25,89,1083.42,2018-11-20 00:18:02
1.67,10,胡桃夹子和四个王国,0.23,19,11205.28,2018-11-20 00:18:02
14.03,11,其它,1.00,0,0.00,2018-11-20 00:18:02
