code,name,date,bamount,samount,type
002828,贝肯能源,2019-09-19,280.05,502.86,跌幅偏离值达7%的证券
002959,小熊电器,2019-09-19,2066.12,0.0,换手率达20%的证券
002959,小熊电器,2019-09-19,2066.12,0.0,涨幅偏离值达7%的证券
002316,亚联发展,2019-09-19,367.42,0.0,跌幅偏离值达7%的证券
300474,景嘉微,2019-09-19,6016.2,2489.42,涨幅偏离值达7%的证券
300212,易华录,2019-09-19,1543.67,0.0,涨幅偏离值达7%的证券
300207,欣旺达,2019-09-19,1624.97,10401.25,涨幅偏离值达7%的证券
300783,三只松鼠,2019-09-19,0.0,8725.01,连续三个交易日内，涨幅偏离值累计达20%的证券
300783,三只松鼠,2019-09-19,0.0,8725.01,换手率达20%的证券
300783,三只松鼠,2019-09-19,0.0,8725.01,涨幅偏离值达7%的证券
300061,康旗股份,2019-09-19,0.0,5530.08,跌幅偏离值达7%的证券
300661,圣邦股份,2019-09-18,1210.28,2711.85,涨幅偏离值达7%的证券
300530,达志科技,2019-09-18,0.0,713.65,连续三个交易日内，涨幅偏离值累计达20%的证券
300525,博思软件,2019-09-18,534.99,0.0,涨幅偏离值达7%的证券
300448,浩云科技,2019-09-18,0.0,2989.6,换手率达20%的证券
300448,浩云科技,2019-09-18,0.0,2989.6,振幅值达15%的证券
002600,领益智造,2019-09-18,2929.28,3319.5,振幅值达15%的证券
300448,浩云科技,2019-09-18,0.0,2989.6,跌幅偏离值达7%的证券
002905,金逸影视,2019-09-18,1218.5,0.0,换手率达20%的证券
300164,通源石油,2019-09-18,17.06,294.13,跌幅偏离值达7%的证券
002959,小熊电器,2019-09-18,3502.85,1876.53,换手率达20%的证券
000550,江铃汽车,2019-09-18,366.85,0.0,涨幅偏离值达7%的证券
601717,郑煤机,2019-09-18,0.0,4984.36,振幅值达15%的证券
300709,精研科技,2019-09-17,601.61,578.13,跌幅偏离值达7%的证券
300448,浩云科技,2019-09-17,0.0,4675.59,连续三个交易日内，涨幅偏离值累计达20%的证券
300448,浩云科技,2019-09-17,0.0,4675.59,涨幅偏离值达7%的证券
300384,三联虹普,2019-09-17,0.0,3001.65,跌幅偏离值达7%的证券
002905,金逸影视,2019-09-17,1203.98,0.0,换手率达20%的证券
002892,科力尔,2019-09-17,2625.78,2285.0,涨幅偏离值达7%的证券
002961,瑞达期货,2019-09-17,0.0,3.58,连续三个交易日内，涨幅偏离值累计达20%的证券
603093,南华期货,2019-09-17,0.0,9.61,连续三个交易日内，涨幅偏离值累计达20%的证券
300177,中海达,2019-09-16,0.0,3049.11,涨幅偏离值达7%的证券
300738,奥飞数据,2019-09-16,1778.81,7.21,换手率达20%的证券
002905,金逸影视,2019-09-16,662.17,0.0,换手率达20%的证券
002905,金逸影视,2019-09-16,662.17,0.0,涨幅偏离值达7%的证券
002617,露笑科技,2019-09-16,34.4,1307.83,涨幅偏离值达7%的证券
000049,德赛电池,2019-09-16,3969.84,2473.07,涨幅偏离值达7%的证券
603093,南华期货,2019-09-16,0.0,9.61,涨幅偏离值达7%的证券
600521,华海药业,2019-09-16,1964.13,9474.54,跌幅偏离值达7%的证券
300579,数字认证,2019-09-12,856.23,3803.29,涨幅偏离值达7%的证券
300767,震安科技,2019-09-12,898.84,0.0,换手率达20%的证券
300579,数字认证,2019-09-12,856.23,3803.29,涨幅偏离值达7%的证券
002961,瑞达期货,2019-09-12,0.0,1.37,连续三个交易日内，涨幅偏离值累计达20%的证券
002957,科瑞技术,2019-09-12,0.0,500.82,换手率达20%的证券
000723,美锦能源,2019-09-12,2703.1,0.0,换手率达20%的证券
300014,亿纬锂能,2019-09-12,1815.72,6536.27,跌幅偏离值达7%的证券
