Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,诛仙Ⅰ,741.84,32253.96,7,25.66,http://images.entgroup.cn/group2/M00/02/90/wKgASl1_LnGAc4MdAAMs9OucdcQ719.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqALTt9AABu4FrjIZ0468.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqAeLouAAA3sX12UeM982.jpg,2019-09-19 20:09:01
2,小小的愿望,513.30,18023.61,8,17.76,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_L7-AF5i1AALZpSRR4ng320.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAYabGAABUUC-Am5o028.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAIMcEAAAuEZQvV-A794.jpg,2019-09-19 20:09:01
3,名侦探柯南：绀青之拳,392.10,18396.35,7,13.56,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_LxqAHLJzAANQFihab18667.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuAY_kOAACRGpzxag8781.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuACCJBAABKOIGHX7s735.jpg,2019-09-19 20:09:01
4,罗小黑战记,352.54,24866.25,13,12.19,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,2019-09-19 20:09:01
5,哪吒之魔童降世,219.76,490925.02,56,7.60,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,2019-09-19 20:09:01
6,速度与激情：特别行动,215.84,140749.62,28,7.47,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,2019-09-19 20:09:01
7,巨鳄风暴,182.92,5833.85,8,6.33,,http://images.entgroup.cn/group1/M00/05/1C/wKgASV1vLxeAXyraAABU4ys0KEg314.jpg,http://images.entgroup.cn/group1/M00/05/1C/wKgASV1vLxeAL-gOAAAsdx-oXfs561.jpg,2019-09-19 20:09:01
8,古田军号,43.63,2812.56,50,1.51,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,2019-09-19 20:09:01
9,烈火英雄,32.94,168701.85,50,1.14,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgZaAfNe-AAO7Ksr26TA049.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgAS11CgQGAaweAAAB7sr_UZpk254.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgPiAcxWVAAA3_PvNj4s646.jpg,2019-09-19 20:09:01
10,徒手攀岩,31.76,3281.13,14,1.10,,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10_ozeAPco5AABn5t7r2fs151.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10_ozeAYDZxAAAv96XMIUQ831.jpg,2019-09-19 20:09:01
11,其它,164.34,0.00,0,1.00,,,,2019-09-19 20:09:01
