BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
1800.09,1,一条狗的使命2,29.72,4,9590.95,2019-05-20 20:18:02
1719.85,2,大侦探皮卡丘,28.39,11,49881.92,2019-05-20 20:18:02
980.81,3,复仇者联盟4：终局之战,16.19,27,421827.90,2019-05-20 20:18:02
540.09,4,何以为家,8.92,22,34199.63,2019-05-20 20:18:02
414.09,5,一个母亲的复仇,6.84,11,8821.55,2019-05-20 20:18:02
174.21,6,双生,2.88,3,1568.40,2019-05-20 20:18:02
162.72,7,海蒂和爷爷,2.69,5,1231.35,2019-05-20 20:18:02
63.44,8,真爱不迟到,1.05,1,64.45,2019-05-20 20:18:02
28.11,9,进京城,0.46,11,650.78,2019-05-20 20:18:02
27.46,10,周恩来回延安,0.45,6,183.25,2019-05-20 20:18:02
146.90,11,其它,1.00,0,0.00,2019-05-20 20:18:02
