AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex
37,31,21171,-3,1,2,毒液：致命守护者,44851,
30,13,2460,-3,2,2,名侦探柯南：零的执行人,5044,
36,8,1031,-20,3,2,你好，之华,2335,
33,11,470,0,4,1,恐龙王,471,
35,10,215,124,5,9,胡桃夹子和四个王国,10667,
30,6,118,0,6,1,两个俏公主,118,
33,11,118,687,7,23,雪怪大冒险,7091,
35,7,93,75,8,9,流浪猫鲍勃,4874,
32,3,64,-9,9,9,飓风奇劫,8878,
33,3,34,-28,10,2,我的冤家是条狗,92,
