BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
24886.80,1,毒液：致命守护者,82.06,2,48567.06,2018-11-10 19:30:49
2814.49,2,名侦探柯南：零的执行人,9.28,2,5398.82,2018-11-10 19:30:49
1209.29,3,你好，之华,3.99,2,2512.51,2018-11-10 19:30:49
506.24,4,恐龙王,1.67,1,506.86,2018-11-10 19:30:49
235.26,5,胡桃夹子和四个王国,0.78,9,10687.19,2018-11-10 19:30:49
133.05,6,雪怪大冒险,0.44,23,7105.78,2018-11-10 19:30:49
121.53,7,两个俏公主,0.40,1,121.53,2018-11-10 19:30:49
105.27,8,流浪猫鲍勃,0.35,9,4885.95,2018-11-10 19:30:49
77.29,9,飓风奇劫,0.25,9,8891.37,2018-11-10 19:30:49
38.51,10,我的冤家是条狗,0.13,2,96.29,2018-11-10 19:30:49
199.33,11,其它,1.00,0,0.00,2018-11-10 19:30:49
