BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
3313.29,1,海王,62.95,13,141646.09,2018-12-19 23:46:01
615.14,2,龙猫,11.69,6,11032.89,2018-12-19 23:46:01
463.03,3,印度合伙人,8.80,6,5049.99,2018-12-19 23:46:01
197.65,4,中国合伙人2,3.75,2,601.97,2018-12-19 23:46:01
183.17,5,网络谜踪,3.48,6,2461.88,2018-12-19 23:46:01
161.64,6,无名之辈,3.07,34,78834.83,2018-12-19 23:46:01
117.76,7,狗十三,2.24,13,4480.05,2018-12-19 23:46:01
47.12,8,绿毛怪格林奇,0.90,6,2104.13,2018-12-19 23:46:01
42.26,9,毒液：致命守护者,0.80,41,186761.34,2018-12-19 23:46:01
23.01,10,春天的马拉松,0.44,6,91.36,2018-12-19 23:46:01
99.65,11,其它,1.00,0,0.00,2018-12-19 23:46:01
