code,name,count,bamount,samount,net,bcount,scount
300140,中环装备,2,15709.97,5788.19,9921.78,10,10
300746,汉嘉设计,5,28249.86,19647.19,8602.67,21,24
002243,通产丽星,3,24119.42,15622.17,8497.25,14,19
002176,江特电机,1,11141.39,3437.89,7703.5,5,5
300153,科泰电源,2,16942.9,9276.46,7666.44,10,10
002007,华兰生物,1,41593.81,34140.44,7453.37,3,3
002023,海特高新,1,8379.34,2942.68,5436.67,5,5
000068,华控赛格,3,18467.05,13178.92,5288.12,14,15
603032,德新交运,2,17370.51,12163.97,5206.54,10,12
300146,汤臣倍健,1,16125.15,11677.85,4447.3,2,2
000610,西安旅游,2,12989.58,8775.04,4214.55,10,10
002862,实丰文化,3,26542.78,23176.42,3366.35,14,14
300752,隆利科技,4,21190.02,17837.57,3352.45,14,19
002927,泰永长征,2,11888.23,9195.16,2693.07,10,10
002860,星帅尔,1,3824.84,1312.79,2512.05,5,5
002628,成都路桥,1,4242.08,2026.69,2215.38,5,5
002508,老板电器,1,23508.27,21341.1,2167.17,5,5
300228,富瑞特装,1,2788.28,632.6,2155.68,5,5
300589,江龙船艇,1,2747.81,684.38,2063.43,5,5
002943,宇晶股份,6,20038.11,17988.62,2049.49,19,17
002213,特尔佳,2,10817.56,8813.03,2004.53,12,11
000498,山东路桥,3,18137.6,16367.72,1769.88,12,10
002366,台海核电,1,8456.38,6770.51,1685.87,5,4
600086,东方金钰,1,4224.21,2552.26,1671.95,5,5
600666,奥瑞德,1,4364.78,2696.8,1667.98,5,5
002622,融钰集团,1,5300.11,3713.78,1586.34,5,5
000835,长城动漫,1,2104.12,554.05,1550.06,5,5
000517,荣安地产,1,3710.85,2222.34,1488.52,5,5
002346,柘中股份,2,7062.1,5608.96,1453.13,10,10
002560,通达股份,1,1800.12,378.91,1421.21,5,5
600684,珠江实业,1,4441.54,3027.36,1414.18,5,5
300011,鼎汉技术,1,2863.17,1628.02,1235.15,5,5
300535,达威股份,1,4422.37,3276.7,1145.67,5,5
300733,西菱动力,1,1434.48,331.78,1102.7,5,5
603378,亚士创能,2,4088.15,3023.95,1064.2,10,9
000966,长源电力,1,2041.79,989.25,1052.55,2,5
002721,金一文化,1,2645.86,1623.73,1022.13,5,5
603017,中衡设计,1,1664.72,671.52,993.2,5,5
300694,蠡湖股份,1,2152.74,1164.74,988.0,5,5
000633,合金投资,1,1700.14,736.26,963.88,5,5
000976,华铁股份,1,2684.78,1724.93,959.85,5,5
002592,八菱科技,1,3234.61,2276.96,957.66,5,5
600290,华仪电气,2,4014.46,3100.6,913.87,10,10
300109,新开源,1,3065.76,2164.24,901.52,5,5
