code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-1.05,2578.675,2576.6495,2549.5634,2579.8743,2547.0783,107661797,937.1318
000002,Ａ股指数,-1.05,2700.2429,2698.1131,2669.6802,2701.5051,2667.0795,107553955,936.559
000003,Ｂ股指数,-0.2,277.2566,277.3364,276.7947,277.7112,276.3244,107842,0.5727
000008,综合指数,-0.86,2483.0272,2478.6064,2457.3371,2483.7485,2455.2395,24471402,222.029
000009,上证380,-1.29,3989.6032,3988.6897,3937.2176,3994.9828,3933.5903,25821500,200.8971
000010,上证180,-1.1,7075.9032,7063.9885,6986.0282,7082.1561,6977.476,36531151,418.0789
000011,基金指数,-0.48,5590.124,5588.2335,5561.6692,5594.9036,5558.8736,35898694,307.4763
000012,国债指数,0.02,169.5118,169.4956,169.5215,169.5224,169.5042,263828,2.5349
000016,上证50,-1.18,2401.9082,2397.8676,2369.5483,2403.895,2366.4002,18664633,253.1396
000017,新综指,-1.05,2177.1678,2175.4532,2152.5232,2178.1857,2150.4272,107547278,936.4503
000300,沪深300,-1.19,3133.7416,3128.4265,3091.1255,3137.0099,3086.7579,55522299,678.7292
000905,中证500,-1.38,4311.2792,4307.2675,4247.8991,4315.1081,4245.1504,46260174,338.5435
399001,深证成指,-1.48,7541.5019999999995,7530.325,7418.691999999999,7548.72,7407.456,14533289305,1234.2317
399002,深成指R,-1.48,9117.466999999999,9103.954,8968.994,9126.193000000001,8955.408000000001,5677061077,569.5059
399003,成份Ｂ指,-0.73,4418.255,4410.053,4377.77,4425.688,4372.685,3001361,0.2252
399004,深证100R,-1.39,3957.824,3951.388,3896.308,3965.547,3889.906,1806167281,251.9859
399005,中小板指,-1.74,4938.901,4935.979,4849.909000000001,4943.986,4842.452,1302727088,157.7145
399006,创业板指,-1.9,1295.886,1293.335,1268.8139999999999,1296.863,1265.747,952093975,131.9539
399008,中小300,-1.64,968.2280000000001,967.3939999999999,951.558,969.0260000000001,950.0010000000001,3350799053,292.2601
399100,新 指 数,-1.36,5957.124,5951.469,5870.313,5964.960999999999,5861.232,14211124396,1224.636
399101,中小板综,-1.48,7611.840999999999,7611.2880000000005,7498.802,7619.611999999999,7487.729,6557784655,543.3112
399106,深证综指,-1.38,1313.9720000000002,1312.5520000000001,1294.485,1315.665,1292.258,14533289305,1234.2317
399107,深证Ａ指,-1.38,1373.9489999999998,1372.463,1353.529,1375.721,1351.193,14526198057,1233.8454
399108,深证Ｂ指,-0.41,851.6669999999999,850.817,847.3,852.694,846.063,7091248,0.3862
399333,中小板R,-1.74,5491.376,5488.1269999999995,5392.429,5497.03,5384.138000000001,1302727088,157.7145
399606,创业板R,-1.9,1357.501,1354.828,1329.141,1358.524,1325.9279999999999,952093975,131.9539
