BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
672.30,1,无名之辈,41.08,19,65139.08,2018-12-04 15:23:01
323.11,2,毒液：致命守护者,19.74,26,182536.32,2018-12-04 15:23:01
159.33,3,无敌破坏王2：大闹互联网,9.73,12,24212.96,2018-12-04 15:23:01
148.71,4,憨豆特工3,9.09,12,15330.96,2018-12-04 15:23:01
73.10,5,老爸102岁,4.47,5,2546.56,2018-12-04 15:23:01
72.79,6,神奇动物：格林德沃之罪,4.45,19,39325.43,2018-12-04 15:23:01
58.53,7,狗十三,3.58,-2,135.08,2018-12-04 15:23:01
37.08,8,摘金奇缘,2.27,5,919.13,2018-12-04 15:23:01
30.06,9,亡命救赎,1.84,5,1247.26,2018-12-04 15:23:01
11.13,10,中国蓝盔,0.68,12,1573.83,2018-12-04 15:23:01
50.52,11,其它,1.00,0,0.00,2018-12-04 15:23:01
