Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
21.394848,38.64,金逸北京大悦城IMAX店,1,1739,126911.00,45,72.98
20.816718,28.53,南京新街口国际影城,2,2682,120467.50,94,44.92
19.097964,33.29,上海百丽宫影城（环贸iapm店）,3,1132,108440.00,34,95.80
13.295389,25.10,上海五角场万达广场店,4,1481,96686.80,59,65.28
11.575160,23.97,Jackie Chan北京耀莱,5,2205,96162.00,92,43.61
14.320374,20.61,首都电影院西单店,6,1484,94337.88,72,63.57
12.254122,26.95,广州飞扬影城（正佳分店）,7,1482,92721.00,55,62.56
13.069169,24.62,UME影城（北京华星店）,8,1034,91807.50,42,88.79
42.371428,70.62,中都影城石家庄先天下店,9,2966,88625.50,42,29.88
13.251496,23.95,金逸上海龙之梦IMAX店,10,1317,87563.10,55,66.49
13.515346,22.72,UME影城（北京双井店）,11,1295,85952.23,57,66.37
13.796241,18.52,SFC上影影城（港汇恒隆永华店）,12,1130,82513.50,61,73.02
10.533032,22.51,卢米埃北京长楹天街IMAX影城,13,1238,82454.00,55,66.60
8.952736,11.80,北京市金泉港国际影城,14,1274,82078.00,108,64.43
15.335015,20.26,北京寰映合生汇店,15,1094,81111.95,54,74.14
11.206512,20.44,深圳市百老汇电影中心影城,16,1206,78053.00,59,64.72
23.222208,32.71,金逸广州海珠城IMAX店 ,17,1374,77265.20,42,56.23
15.617892,25.75,广州市百丽宫猎德影院,18,1133,76613.00,44,67.62
16.217381,26.18,上海和平影都,19,1021,74351.00,39,72.82
10.196356,15.96,北京CBD万达广场店,20,862,73595.30,54,85.38
14.538786,22.27,武商摩尔国际电影城,21,2227,72968.00,100,32.77
14.630978,17.98,广州UA花城汇影院,22,1187,72519.00,66,61.09
9.933215,19.80,北京美嘉欢乐影城（三里屯店）,23,911,70927.00,46,77.86
17.887506,21.42,昆明万达影城同德广场店,24,1264,69738.80,59,55.17
15.412137,22.97,武汉汉街万达广场店,25,1792,68822.00,78,38.41
9.939783,19.85,金逸北京荟聚IMAX店,26,1211,68202.70,61,56.32
20.422559,29.75,武汉博纳国际电影城,27,1815,67892.00,61,37.41
19.514576,30.70,中影国际影城珠海华发2店,28,1719,67463.00,56,39.25
20.999458,31.63,济南鲁信影城和谐广场店,29,1455,65079.00,46,44.73
18.714416,22.64,深圳娱艺影院UAKKmallY影城,30,1019,64802.00,45,63.59
8.635816,15.07,CGV影城 深圳壹方城店,31,919,64336.00,61,70.01
14.635708,25.48,兰州城关万达广场店,32,1325,64257.46,52,48.50
11.860465,22.67,成都百丽宫影城（太古里店）,33,1088,63008.00,48,57.91
10.571846,21.04,广州市捷登都会飞扬影城,34,1662,62727.00,79,37.74
10.958904,16.00,深圳市万象影城罗湖万象城店,35,1136,62584.80,71,55.09
23.478951,29.56,首都电影院昌平店,36,1478,62560.23,50,42.33
11.431525,19.51,广州白云万达广场店,37,995,61841.40,51,62.15
22.752902,45.73,中影国际影城武汉光谷天河店,38,2058,61646.00,45,29.95
16.968673,25.11,成都UA国际金融中心影城,39,1105,61345.50,44,55.52
14.206326,18.13,SFC上影影城（八佰伴店）,40,997,60419.10,55,60.60
25.606765,34.41,海上明珠国际影城成都银泰城店,41,1514,60266.00,44,39.81
7.302413,11.46,北京通州万达广场店,42,814,59179.48,71,72.70
45.944910,71.87,SFC上影影城（西安大融城店）,43,2228,57823.00,31,25.95
11.336910,17.42,中影国际影城上海合生汇店,44,993,57348.00,57,57.75
11.573488,16.39,昆明西山万达广场店,45,1098,57327.60,67,52.21
19.713217,34.95,厦门万达影城SM广场店,46,1363,57151.70,39,41.93
8.569633,13.64,北京石景山万达广场店,47,764,57133.97,56,74.78
12.256413,19.21,成都锦华万达广场店,48,1345,57018.40,70,42.39
10.712272,20.12,CGV影城 青岛万象城店,49,1026,56419.00,51,54.99
10.107488,23.18,金逸天津大悦城IMAX店,50,1182,56118.00,51,47.48
23.125682,36.60,北京天幕新彩云影城,51,1574,55946.00,43,35.54
12.022565,19.70,大连经开万达广场店,52,1300,55888.10,66,42.99
9.918032,18.21,南京建邺万达广场店,53,1111,55668.00,61,50.11
9.811612,15.79,卢米埃深圳九方IMAX影城,54,963,55573.00,61,57.71
17.765473,21.60,杭州浙江新远国际影城,55,1123,55557.64,52,49.47
14.742933,18.68,郑州奥斯卡熙地港国际影城,56,1420,55488.00,76,39.08
19.344750,32.48,中影国际影城北京昌平永旺店,57,1299,54930.30,40,42.29
12.810585,16.97,UME影城（重庆渝中店）,58,1307,54497.06,77,41.70
13.203279,17.30,SFC上影影城（天山缤谷广场店）,59,934,54305.70,54,58.14
15.197029,21.45,海上明珠国际影城上海环球港店,60,1008,54109.00,47,53.68
10.311367,13.16,UME影城（北京安贞店）,61,882,53807.32,67,61.01
9.218820,20.41,广州飞扬影城,62,1000,53715.00,49,53.72
32.141112,23.93,兰州太平洋鑫都电影城,63,1316,53312.00,55,40.51
17.414403,25.29,上海百美汇影院,64,708,53064.00,28,74.95
13.849558,16.95,成都太平洋电影城,65,1458,52867.00,86,36.26
13.224574,26.58,北京嘉华国际影城,66,1143,52727.80,43,46.13
14.320880,23.55,昆明百老汇影城,67,989,52536.80,42,53.12
13.041276,23.41,卢米埃温州万象城IMAX影城,68,1030,52533.60,44,51.00
19.613055,31.41,中影国际影城杭州西溪印象城店,69,1162,52404.00,37,45.10
13.970377,20.89,上海国金百丽宫影城,70,731,52378.00,35,71.65
16.181066,16.46,UME影城（重庆江北店）,71,1284,52013.10,78,40.51
13.168690,18.34,CGV星星影城 北京颐堤港店,72,697,51814.00,38,74.34
11.412517,14.40,德纳国际影城杭州萧山店,73,1109,51701.00,77,46.62
10.812201,15.27,CGV影城 苏州中心店,74,794,51599.00,52,64.99
14.748617,20.85,福州仓山万达广场店,75,1147,51530.00,55,44.93
11.012405,18.27,成都金牛万达广场店,76,1206,51189.40,66,42.45
13.198900,18.00,北京华影天映传奇时代影城,77,810,51092.00,45,63.08
28.828314,28.86,兰州太平洋华联影城,78,1212,50809.00,42,41.92
13.009147,27.72,巨幕影城（武汉光谷广场资本大厦店）,79,1691,50675.00,61,29.97
20.262436,19.97,SFC上影影城（徐汇绿地滨江店）,80,739,50544.00,37,68.40
19.468043,25.38,UME影城（河北石家庄店）,81,1523,50392.75,60,33.09
8.377659,13.40,杭州百老汇影城,82,630,50387.00,47,79.98
7.570162,12.81,上海松江万达广场店,83,820,50365.20,64,61.42
11.204288,22.60,北京美嘉欢乐影城（中关村）,84,972,50180.00,43,51.63
10.364440,18.32,百丽宫影城长宁来福士店,85,861,50167.00,47,58.27
9.740106,15.37,南昌红谷滩万达广场店,86,1030,50028.90,67,48.57
9.307609,18.38,南宁沃美影城,87,974,50025.00,53,51.36
10.494949,15.98,英皇电影城-合肥万象城,88,1039,49904.00,65,48.03
11.857958,29.53,长沙万达影城悦荟广场店,89,1122,49897.90,38,44.47
10.456099,18.47,CGV影城 长沙德思勤店,90,868,49504.50,47,57.03
15.516149,24.50,广州星汇电影院,91,1568,49224.00,64,31.39
11.028315,19.41,郑州二七万达广场店,92,1184,49163.00,61,41.52
8.971332,15.20,北京博纳悠唐国际影城,93,684,48797.00,45,71.34
10.787628,17.44,呼和浩特万达广场店,94,872,48623.00,50,55.76
13.197298,18.95,广州天河影城,95,1042,48606.00,55,46.65
16.442963,26.22,上海开元地中海影城,96,1206,48461.00,46,40.18
12.000618,20.42,大连高新万达广场店,97,1164,48411.00,57,41.59
14.606687,29.52,大连市博纳影城中央大道店,98,1358,48269.00,46,35.54
8.434609,16.55,CGV影城 福州东二环店,99,877,48234.00,53,55.00
7.595792,13.48,南宁青秀万达广场店,100,1011,48198.00,75,47.67
