BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
6824.96,1,海王,63.68,8,99807.76,2018-12-14 20:00:48
1741.91,2,龙猫,16.25,1,1800.20,2018-12-14 20:00:48
880.11,3,印度合伙人,8.21,1,919.53,2018-12-14 20:00:48
461.75,4,网络谜踪,4.31,1,498.36,2018-12-14 20:00:48
276.98,5,绿毛怪格林奇,2.58,1,280.73,2018-12-14 20:00:48
211.12,6,无名之辈,1.97,29,77205.09,2018-12-14 20:00:48
111.66,7,狗十三,1.04,8,3357.99,2018-12-14 20:00:48
37.46,8,毒液：致命守护者,0.35,36,186299.19,2018-12-14 20:00:48
24.15,9,午夜整容室,0.23,1,31.10,2018-12-14 20:00:48
17.97,10,憨豆特工3,0.17,22,17093.34,2018-12-14 20:00:48
130.35,11,其它,1.00,0,0.00,2018-12-14 20:00:48
