BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
7369.40,1,海王,86.71,4,72399.54,2018-12-10 20:05:33
517.08,2,无名之辈,6.08,25,75017.17,2018-12-10 20:05:33
223.58,3,狗十三,2.63,4,2237.43,2018-12-10 20:05:33
119.41,4,毒液：致命守护者,1.40,32,185711.43,2018-12-10 20:05:33
77.35,5,无敌破坏王2：大闹互联网,0.91,18,26686.67,2018-12-10 20:05:33
66.09,6,惊涛飓浪,0.78,4,862.77,2018-12-10 20:05:33
52.90,7,憨豆特工3,0.62,18,16898.33,2018-12-10 20:05:33
13.99,8,神奇动物：格林德沃之罪,0.16,25,39782.70,2018-12-10 20:05:33
9.41,9,龙猫,0.11,-3,17.07,2018-12-10 20:05:33
8.32,10,远去的牧歌,0.10,57,254.39,2018-12-10 20:05:33
41.78,11,其它,1.00,0,0.00,2018-12-10 20:05:33
