Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,两只老虎,1296.77,1363.38,1,41.14,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNJCAfOU9AAOIfCDymtI394.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNKKACzl0AACNp9syw-w291.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fNISAZ9boAABF2luTozk557.jpg,2019-11-29 03:03:42
2,冰雪奇缘2,557.95,45359.85,8,17.70,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,2019-11-29 03:03:42
3,一生有你2019,504.96,510.34,1,16.02,,http://images.entgroup.cn/group1/M00/05/26/wKgASV2yOMSAXbVAAABOIdmbLQo123.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2yOMSANWRQAAApSEfUSGU413.jpg,2019-11-29 03:03:42
4,利刃出鞘,431.91,454.80,1,13.70,,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAYO4qAABt4LQ_k-A251.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAXuSYAAA4OfsXwww180.jpg,2019-11-29 03:03:42
5,冰峰暴,120.29,145.33,1,3.82,,http://images.entgroup.cn/group1/M00/05/14/wKgASV1Li2KAYWLGAAB25hxlvX8827.jpg,http://images.entgroup.cn/group1/M00/05/14/wKgASV1Li2KAAVTyAAA8jGmVBtQ586.jpg,2019-11-29 03:03:42
6,平原上的夏洛克,73.12,334.45,1,2.32,,http://images.entgroup.cn/group2/M00/02/92/wKgAS12enU-ATkO-AAA8w93bKn0386.jpg,http://images.entgroup.cn/group2/M00/02/92/wKgASl2enUmAdoOnAAAeZeCCph8200.jpg,2019-11-29 03:03:42
7,衣柜里的冒险王,48.48,60.23,1,1.54,,http://images.entgroup.cn/group2/M00/02/94/wKgASl26gLmAFhA6AABtsINmZHY610.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgASl26gLmAC_d2AAA4qd3Y0I4983.jpg,2019-11-29 03:03:42
8,我和我的祖国,26.69,297155.76,61,0.85,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,2019-11-29 03:03:42
9,海林都,17.34,449.94,9,0.55,,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAEzX4AABzz0fHcFE563.jpg,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAIsxcAAA43ilYZj4835.jpg,2019-11-29 03:03:42
10,海上钢琴师,16.97,13309.71,15,0.54,http://images.entgroup.cn/group2/M00/02/95/wKgAS13OD4mAApl_AALmQxZXm-A367.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAB2C1AABU6MLe214739.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAQCCuAAAqn2egL_Q269.jpg,2019-11-29 03:03:42
11,其它,57.50,0.00,0,1.00,,,,2019-11-29 03:03:42
