code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000018,神城A退,-10,0.09,0.04,0.04,退市整理期,1.00,1.00,2019-11-28
000159,国际实业,9.9818,4493.98,3237.70,1256.28,日涨幅偏离值达到7%的前五只证券,0.34,0.13,2019-11-28
000505,京粮控股,9.9415,3982.12,2923.57,1058.54,日涨幅偏离值达到7%的前五只证券,0.25,0.09,2019-11-28
000609,中迪投资,-9.9398,9528.51,2676.58,6851.93,日振幅值达到15%的前五只证券,0.07,0.18,2019-11-28
000609,中迪投资,-9.9398,9528.51,2676.58,6851.93,日跌幅偏离值达到7%的前五只证券,0.07,0.18,2019-11-28
000673,当代东方,10.0478,8398.18,3941.26,4456.92,日涨幅偏离值达到7%的前五只证券,0.09,0.10,2019-11-28
000782,美达股份,10.0304,4463.45,1594.36,2869.09,日涨幅偏离值达到7%的前五只证券,0.25,0.44,2019-11-28
000982,*ST中绒,3.4146,2532.62,1349.34,1183.28,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.16,0.14,2019-11-28
002143,印纪退,-10.7143,741.84,475.06,266.78,退市整理期,0.49,0.28,2019-11-28
002351,漫步者,9.9786,23598.40,17132.46,6465.95,日涨幅偏离值达到7%的前五只证券,0.18,0.07,2019-11-28
002356,*ST赫美,5.2632,2805.16,1592.48,1212.68,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券,0.23,0.18,2019-11-28
002359,*ST北讯,4.7872,1835.38,1099.28,736.10,"连续三个交易日内,涨幅偏离值累计达到12%的ST证券、*ST证券",0.12,0.08,2019-11-28
002437,誉衡药业,10.0346,6054.94,3630.67,2424.27,日涨幅偏离值达到7%的前五只证券,0.24,0.16,2019-11-28
002442,龙星化工,9.9255,2997.31,2091.53,905.77,日涨幅偏离值达到7%的前五只证券,0.39,0.17,2019-11-28
002524,光正集团,10.0358,20704.07,7618.77,13085.30,日涨幅偏离值达到7%的前五只证券,0.09,0.15,2019-11-28
002552,宝鼎科技,3.0775,20430.90,9640.99,10789.92,日换手率达到20%的前五只证券,0.07,0.07,2019-11-28
002684,*ST猛狮,5,4058.30,2871.73,1186.57,"连续三个交易日内,涨幅偏离值累计达到12%的ST证券、*ST证券",0.29,0.12,2019-11-28
002773,康弘药业,9.997,38893.24,18390.65,20502.59,日涨幅偏离值达到7%的前五只证券,0.47,0.52,2019-11-28
002865,钧达股份,-4.2345,4274.12,1036.06,3238.07,日换手率达到20%的前五只证券,0.08,0.26,2019-11-28
002888,惠威科技,2.4102,3075.25,1451.30,1623.96,日换手率达到20%的前五只证券,0.06,0.07,2019-11-28
002961,瑞达期货,-0.7759,4469.27,2378.73,2090.54,日换手率达到20%的前五只证券,0.07,0.06,2019-11-28
002967,广电计量,2.1798,17115.77,9628.44,7487.33,日换手率达到20%的前五只证券,0.09,0.07,2019-11-28
