IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,RapIndex,WomIndex
1,两只老虎,1271,1338,36,3,1,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNJCAfOU9AAOIfCDymtI394.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNKKACzl0AACNp9syw-w291.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fNISAZ9boAABF2luTozk557.jpg,0,,
2,冰雪奇缘2,541,45343,48,2,8,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,-63,,
3,一生有你2019,496,501,41,2,1,,http://images.entgroup.cn/group1/M00/05/26/wKgASV2yOMSAXbVAAABOIdmbLQo123.jpg,http://images.entgroup.cn/group1/M00/05/26/wKgASV2yOMSANWRQAAApSEfUSGU413.jpg,12300,,
4,利刃出鞘,419,442,47,2,1,,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAYO4qAABt4LQ_k-A251.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAXuSYAAA4OfsXwww180.jpg,3709,,
5,冰峰暴,119,144,39,1,1,,http://images.entgroup.cn/group1/M00/05/14/wKgASV1Li2KAYWLGAAB25hxlvX8827.jpg,http://images.entgroup.cn/group1/M00/05/14/wKgASV1Li2KAAVTyAAA8jGmVBtQ586.jpg,750,,
6,平原上的夏洛克,71,332,39,1,1,,http://images.entgroup.cn/group2/M00/02/92/wKgAS12enU-ATkO-AAA8w93bKn0386.jpg,http://images.entgroup.cn/group2/M00/02/92/wKgASl2enUmAdoOnAAAeZeCCph8200.jpg,0,,
7,衣柜里的冒险王,48,60,41,1,1,,http://images.entgroup.cn/group2/M00/02/94/wKgASl26gLmAFhA6AABtsINmZHY610.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgASl26gLmAC_d2AAA4qd3Y0I4983.jpg,0,,
8,我和我的祖国,24,297153,41,18,61,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,-92,,
9,海林都,17,450,58,23,9,,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAEzX4AABzz0fHcFE563.jpg,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAIsxcAAA43ilYZj4835.jpg,-48,,
10,海上钢琴师,16,13309,51,2,15,http://images.entgroup.cn/group2/M00/02/95/wKgAS13OD4mAApl_AALmQxZXm-A367.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAB2C1AABU6MLe214739.jpg,http://images.entgroup.cn/group1/M00/05/28/wKgASV3ODveAQCCuAAAqn2egL_Q269.jpg,-95,,
