BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
5042.52,1,海王,80.25,7,92533.95,2018-12-13 21:13:57
517.89,2,无名之辈,8.24,28,76927.69,2018-12-13 21:13:57
343.13,3,狗十三,5.46,7,3226.84,2018-12-13 21:13:57
104.98,4,毒液：致命守护者,1.67,35,186248.40,2018-12-13 21:13:57
54.98,5,惊涛飓浪,0.87,7,1054.43,2018-12-13 21:13:57
47.69,6,憨豆特工3,0.76,21,17069.57,2018-12-13 21:13:57
42.74,7,无敌破坏王2：大闹互联网,0.68,21,26846.79,2018-12-13 21:13:57
32.47,8,龙猫,0.52,0,49.96,2018-12-13 21:13:57
12.42,9,神奇动物：格林德沃之罪,0.20,28,39843.42,2018-12-13 21:13:57
11.92,10,远去的牧歌,0.19,60,342.15,2018-12-13 21:13:57
73.04,11,其它,1.00,0,0.00,2018-12-13 21:13:57
