BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
11842.52,1,海王,63.66,10,129970.29,2018-12-16 20:53:44
3163.87,2,龙猫,17.01,3,8844.35,2018-12-16 20:53:44
1057.39,3,印度合伙人,5.68,3,3523.09,2018-12-16 20:53:44
810.42,4,绿毛怪格林奇,4.36,3,1939.16,2018-12-16 20:53:44
561.31,5,网络谜踪,3.02,3,1816.72,2018-12-16 20:53:44
405.11,6,无名之辈,2.18,31,78227.61,2018-12-16 20:53:44
331.84,7,狗十三,1.78,10,4068.36,2018-12-16 20:53:44
112.96,8,毒液：致命守护者,0.61,38,186563.67,2018-12-16 20:53:44
88.91,9,蜘蛛侠：平行宇宙,0.48,-4,88.91,2018-12-16 20:53:44
76.61,10,无敌破坏王2：大闹互联网,0.41,24,27020.88,2018-12-16 20:53:44
152.54,11,其它,1.00,0,0.00,2018-12-16 20:53:44
