BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
236.09,1,大侦探皮卡丘,29.51,12,50532.58,2019-05-21 00:31:39
161.15,2,复仇者联盟4：终局之战,20.15,28,422230.31,2019-05-21 00:31:39
157.97,3,一条狗的使命2,19.75,5,10373.04,2019-05-21 00:31:39
63.03,4,何以为家,7.88,23,34434.49,2019-05-21 00:31:39
44.50,5,一个母亲的复仇,5.56,12,9001.16,2019-05-21 00:31:39
37.96,6,双生,4.75,4,1643.56,2019-05-21 00:31:39
30.95,7,海蒂和爷爷,3.87,6,1297.84,2019-05-21 00:31:39
20.51,8,周恩来回延安,2.56,7,203.87,2019-05-21 00:31:39
10.36,9,进京城,1.30,12,666.28,2019-05-21 00:31:39
7.97,10,企鹅公路,1.00,5,349.63,2019-05-21 00:31:39
29.41,11,其它,1.00,0,0.00,2019-05-21 00:31:39
