AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex
36,11,6422,-28,1,5,毒液：致命守护者,91208,
36,4,533,-18,2,5,你好，之华,5149,
31,3,487,-21,3,5,名侦探柯南：零的执行人,9084,
31,2,70,-19,4,12,飓风奇劫,9178,
33,3,43,-7,5,12,流浪猫鲍勃,5093,
35,2,42,-5,6,12,胡桃夹子和四个王国,10990,
31,2,30,-6,7,4,恐龙王,1016,
32,2,25,-17,8,45,无双,127019,
31,1,17,-15,9,5,我的冤家是条狗,175,
30,3,10,-23,10,33,嗝嗝老师,14767,
