Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
24.445035,44.15,金逸北京大悦城IMAX店,1,2296,167505.50,52,72.96
14.909628,32.78,广州飞扬影城（正佳分店）,2,2131,133561.00,65,62.68
21.941584,30.07,南京新街口国际影城,3,2857,126939.00,95,44.43
16.393442,35.03,卢米埃北京长楹天街IMAX影城,4,2137,121500.00,61,56.86
12.091918,25.04,Jackie Chan北京耀莱,5,2679,117106.00,107,43.71
29.515527,41.58,金逸广州海珠城IMAX店 ,6,2079,115433.00,50,55.52
20.346174,34.72,广州白云万达广场店,7,2014,114288.30,58,56.75
19.586374,36.90,北京UME华星国际影城,8,1771,113669.50,48,64.18
19.155430,25.31,北京寰映合生汇店,9,1569,112516.00,62,71.71
16.921606,29.50,上海百丽宫影城（环贸iapm店）,10,1239,109787.00,42,88.61
14.456815,26.37,深圳市百老汇电影中心影城,11,1714,109616.00,65,63.95
18.887772,28.93,武商摩尔国际电影城,12,3385,109102.00,117,32.23
15.740819,26.46,北京UME国际影城双井店,13,1667,106895.42,63,64.12
14.373024,24.80,上海五角场万达广场店,14,1736,106144.50,70,61.14
17.780824,33.98,成都百丽宫影城（太古里店）,15,1801,102159.00,53,56.72
19.195894,26.95,武汉汉街万达广场店,16,2506,99533.70,93,39.72
16.546669,23.82,首都电影院西单店,17,1548,99161.25,65,64.06
13.342210,24.11,金逸上海龙之梦IMAX店,18,1543,99152.55,64,64.26
24.261175,35.35,武汉博纳国际电影城,19,2651,98918.50,75,37.31
33.240310,44.67,海上明珠国际影城成都银泰城店,20,2412,98777.00,54,40.95
12.808095,16.88,北京市金泉港国际影城,21,1772,98579.00,105,55.63
33.036213,41.59,首都电影院昌平店,22,2246,97246.57,54,43.30
17.301603,39.59,南宁万达影城悦荟广场店,23,1940,97081.90,49,50.04
26.700572,42.00,中影国际影城珠海华发2店,24,2478,95653.00,59,38.60
18.905360,31.17,广州市百丽宫猎德影院,25,1465,93623.00,47,63.91
20.729684,41.67,北京嘉华国际影城,26,2000,93571.40,48,46.79
30.591938,61.49,中影国际影城武汉光谷天河店,27,3013,91940.00,49,30.51
26.980963,42.60,广州星汇电影院,28,2897,89172.98,68,30.78
14.706016,25.60,兰州城关万达广场店,29,1613,88597.60,63,54.93
26.149783,41.87,中影国际影城杭州西溪印象城店,30,1968,88079.00,47,44.76
11.928601,21.84,CGV影城 杭州滨江天街店,31,1376,87083.00,63,63.29
31.396075,34.89,金逸影城北京双桥店,32,1884,86487.05,54,45.91
10.164478,17.73,CGV影城 深圳壹方城店,33,1259,84863.00,71,67.41
23.834590,46.54,长春吉视迅驰影城,34,2513,84755.00,54,33.73
25.192355,42.29,中影国际影城北京昌平永旺店,35,2030,84626.30,48,41.69
15.588199,24.44,成都锦华万达广场店,36,1955,84259.40,80,43.10
23.109558,36.56,南昌华影国际影城,37,2157,82985.00,59,38.47
9.934976,19.84,金逸北京荟聚IMAX店,38,1389,82971.40,70,59.73
21.313326,30.08,海上明珠国际影城上海环球港店,39,1534,82655.00,51,53.88
13.390334,22.22,成都金牛万达广场店,40,1933,82599.90,87,42.73
11.108296,19.59,金逸福州宝龙IMAX店,41,1900,82540.70,97,43.44
14.508177,23.77,大连经开万达广场店,42,1854,82524.80,78,44.51
16.085821,20.54,北京UME国际影城（安贞店）,43,1417,81659.04,69,57.63
13.009491,25.89,广州市捷登都会飞扬影城,44,2330,81183.00,90,34.84
27.832099,36.86,永恒·晶钻IMAX影城,45,2138,80847.30,58,37.81
26.910927,42.60,北京天幕新彩云影城,46,2215,80655.00,52,36.41
15.981409,20.17,德纳国际影城杭州萧山店,47,1795,80380.00,89,44.78
18.280103,21.89,昆明万达影城同德广场店,48,1445,79779.00,66,55.21
13.460035,22.41,南宁江南万达广场店,49,1636,79549.90,73,48.62
21.757548,34.49,长沙横店潇湘王府井影城,50,2414,79381.00,70,32.88
10.127292,15.85,北京CBD万达广场店,51,983,78469.90,62,79.83
15.073523,23.79,南昌红谷滩万达广场店,52,1594,78178.40,67,49.05
57.245242,67.89,广州大学城宝鑫影城,53,1901,78005.00,28,41.03
10.951204,25.11,金逸天津大悦城IMAX店,54,1582,77738.50,63,49.14
10.740084,23.78,广州飞扬影城,55,1379,77669.00,58,56.32
22.891986,36.50,上海开元地中海影城,56,2117,77613.00,58,36.66
12.470765,18.21,深圳市万象影城罗湖万象城店,57,1493,77401.00,82,51.84
15.360687,28.76,SFC上影影城（杭州龙湖店）,58,1668,77393.40,58,46.40
9.704546,14.36,北京通州万达广场店,59,1091,77212.10,76,70.77
11.141148,20.92,CGV影城 青岛万象城店,60,1360,76690.00,65,56.39
20.277732,20.63,重庆UME国际影城（江北）,61,1836,76577.55,89,41.71
20.340021,21.38,中影星美国际影城万家丽店,62,2245,76161.10,105,33.92
15.586361,27.53,CGV影城 长沙德思勤店,63,1404,76148.00,51,54.24
22.727272,33.00,上海百美汇影院,64,1089,75480.00,33,69.31
17.674922,22.39,郑州奥斯卡熙地港国际影城,65,1903,75439.00,85,39.64
14.606452,25.59,广州飞扬影城（乐峰店）,66,1638,75436.00,64,46.05
11.642727,21.38,南京建邺万达广场店,67,1518,75285.00,71,49.59
17.218943,24.72,广州天河影城,68,1582,75015.00,64,47.42
12.795091,20.59,卢米埃深圳九方IMAX影城,69,1297,74581.00,63,57.50
10.374319,18.41,南宁青秀万达广场店,70,1344,74397.80,73,55.36
10.990424,14.76,SFC上影影城（港汇恒隆永华店）,71,1033,74200.40,70,71.83
14.389582,23.26,呼和浩特万达广场店,72,1326,73906.10,57,55.74
13.580598,20.87,中影国际影城上海合生汇店,73,1273,73069.00,61,57.40
10.422043,20.45,CGV影城 福州东二环店,74,1329,72592.00,65,54.62
17.809933,31.57,厦门万达影城SM广场店,75,1484,72484.60,47,48.84
16.409163,28.00,武商众圆摩尔国际电影城,76,2268,72403.00,81,31.92
20.597309,45.11,从化影天下国际影城,77,1669,72279.00,37,43.31
17.300884,27.93,上海和平影都,78,1173,71597.00,42,61.04
15.322993,26.07,大连高新万达广场店,79,1747,71332.10,67,40.83
27.313752,41.64,洛阳万达影城世茂广场店,80,1957,71227.00,47,36.40
19.735537,23.88,深圳娱艺影院UAKKmallY影城,81,1194,71079.00,50,59.53
13.834717,18.45,昆明西山万达广场店,82,1347,70979.90,73,52.69
12.778706,28.22,金逸武汉销品茂IMAX店,83,1834,70599.80,65,38.49
25.365088,45.40,海口星轶影城（吾悦广场IMAX店）,84,2588,70343.80,57,27.18
10.409878,27.26,SFC上影影城（上海影城）,85,1254,70099.50,46,55.90
12.392241,25.52,广州金逸--无锡光美金逸影城,86,1633,69895.90,64,42.80
16.320166,24.15,成都UA国际金融中心影城,87,1256,69814.00,52,55.58
13.479596,17.86,重庆UME国际影城（渝中店）,88,1536,69717.70,86,45.39
20.345207,29.68,上海星光影城,89,1662,69571.00,56,41.86
13.745260,26.58,深圳市CINESKY新天影院(壹方天地IMAX店),90,1595,69358.00,60,43.48
8.426332,16.80,北京美嘉欢乐影城（三里屯店）,91,840,69121.00,50,82.29
27.753580,49.63,中影国际影城海口上邦店,92,2432,68938.50,49,28.35
17.207792,38.55,武汉万达影城江汉路悦荟广场店,93,2120,68818.00,55,32.46
16.920552,27.82,昆明百老汇影城,94,1252,68775.00,45,54.93
27.615936,52.14,武汉高德国际影城（藏龙岛店）,95,1877,68750.00,36,36.63
17.376309,31.19,卢米埃温州万象城IMAX影城,96,1310,68628.50,42,52.39
21.917556,41.79,成都百老汇影城,97,1588,68600.00,38,43.20
14.495794,21.66,东莞东城万达广场店,98,1451,68546.00,67,47.24
7.225703,17.37,济南万达影城世茂广场店,99,1355,68501.80,78,50.55
16.562909,23.07,CGV星星影城 北京颐堤港店,100,992,68433.00,43,68.98
