BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
7233.93,1,毒液：致命守护者,83.30,5,92020.00,2018-11-13 20:59:43
591.27,2,你好，之华,6.81,5,5207.62,2018-11-13 20:59:43
529.53,3,名侦探柯南：零的执行人,6.10,5,9126.54,2018-11-13 20:59:43
81.74,4,飓风奇劫,0.94,12,9189.26,2018-11-13 20:59:43
45.93,5,流浪猫鲍勃,0.53,12,5096.19,2018-11-13 20:59:43
44.49,6,胡桃夹子和四个王国,0.51,12,10992.25,2018-11-13 20:59:43
30.35,7,恐龙王,0.35,4,1016.15,2018-11-13 20:59:43
28.33,8,无双,0.33,45,127022.93,2018-11-13 20:59:43
18.12,9,我的冤家是条狗,0.21,5,176.97,2018-11-13 20:59:43
10.97,10,嗝嗝老师,0.13,33,14768.22,2018-11-13 20:59:43
69.18,11,其它,1.00,0,0.00,2018-11-13 20:59:43
