BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
1615.65,1,无名之辈,45.41,18,61232.88,2018-12-03 19:55:16
694.18,2,毒液：致命守护者,19.51,25,180798.48,2018-12-03 19:55:16
346.80,3,无敌破坏王2：大闹互联网,9.75,11,23327.94,2018-12-03 19:55:16
334.36,4,憨豆特工3,9.40,11,14272.07,2018-12-03 19:55:16
171.28,5,老爸102岁,4.81,4,2424.77,2018-12-03 19:55:16
142.23,6,神奇动物：格林德沃之罪,4.00,18,38926.41,2018-12-03 19:55:16
71.09,7,摘金奇缘,2.00,4,868.58,2018-12-03 19:55:16
64.02,8,亡命救赎,1.80,4,1196.77,2018-12-03 19:55:16
36.21,9,生活万岁,1.02,7,325.09,2018-12-03 19:55:16
13.45,10,二十岁,0.38,4,276.28,2018-12-03 19:55:16
68.81,11,其它,1.00,0,0.00,2018-12-03 19:55:16
