BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
4044.87,1,海王,82.03,6,85351.84,2018-12-12 18:45:50
357.13,2,无名之辈,7.24,27,76166.23,2018-12-12 18:45:50
233.48,3,狗十三,4.73,6,2794.98,2018-12-12 18:45:50
76.15,4,毒液：致命守护者,1.54,34,186093.09,2018-12-12 18:45:50
46.85,5,惊涛飓浪,0.95,6,987.72,2018-12-12 18:45:50
45.22,6,无敌破坏王2：大闹互联网,0.92,20,26798.41,2018-12-12 18:45:50
35.90,7,憨豆特工3,0.73,20,17005.37,2018-12-12 18:45:50
17.60,8,远去的牧歌,0.36,59,314.12,2018-12-12 18:45:50
11.82,9,照相师,0.24,1,12.70,2018-12-12 18:45:50
10.55,10,神奇动物：格林德沃之罪,0.21,27,39825.67,2018-12-12 18:45:50
51.54,11,其它,1.00,0,0.00,2018-12-12 18:45:50
