Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,勇敢者游戏2：再战巅峰,560.75,21001.72,6,25.66,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fMc2AGxr4AAOxLd_Kmhc053.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAZBJFAAB_O1C3fys823.jpg,http://images.entgroup.cn/group1/M00/05/2A/wKgASV3fMLmAPXDfAAA7Fhz_6ro266.jpg,2019-12-11 15:05:19
2,南方车站的聚会,431.83,16645.70,6,19.76,,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_uAbAeHAABmKTruaGg662.jpg,http://images.entgroup.cn/group2/M00/02/97/wKgAS13pw_yACR9AAAAx2wQE5K8370.jpg,2019-12-11 15:05:19
3,误杀,184.39,1531.78,-1,8.44,,http://images.entgroup.cn/group2/M00/02/96/wKgAS13gt0WAS3CjAABoTRx_PZ8927.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13gt0WAf-JgAAAzRlwBOMg057.jpg,2019-12-11 15:05:19
4,我为你牺牲,159.19,1597.11,7,7.28,,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fKoOARwJfAAB7brwyKHk155.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13fKqGABFVLAAA6sKzntHg076.jpg,2019-12-11 15:05:19
5,利刃出鞘,158.49,17722.51,13,7.25,http://images.entgroup.cn/group2/M00/02/96/wKgASl3kgTWAP4OdAAOZ48FGmwU516.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAYO4qAABt4LQ_k-A251.jpg,http://images.entgroup.cn/group2/M00/02/95/wKgAS13LX5mAXuSYAAA4OfsXwww180.jpg,2019-12-11 15:05:19
6,吹哨人,153.95,4116.78,6,7.04,,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9KAWvnMAAB48IV9Cbo035.jpg,http://images.entgroup.cn/group1/M00/05/27/wKgASV23r9OAPTtyAABBY9KpQC4082.jpg,2019-12-11 15:05:19
7,冰雪奇缘2,127.39,74289.89,20,5.83,http://images.entgroup.cn/group2/M00/02/95/wKgASl3bP7-AXS6hAAJzhRb3alc470.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAP93oAACEwKNAR90206.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lOvCAZmieAAA80PorJhA394.jpg,2019-12-11 15:05:19
8,那时风华,103.39,273.00,2,4.73,,http://images.entgroup.cn/group2/M00/02/96/wKgASl3gelqAcQLJAAB1QOU-CC4341.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3gelqAAsuqAAA6v_vxqLQ077.jpg,2019-12-11 15:05:19
9,两只老虎,88.74,21446.58,13,4.06,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNJCAfOU9AAOIfCDymtI394.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgAS13fNKKACzl0AACNp9syw-w291.jpg,http://images.entgroup.cn/group2/M00/02/96/wKgASl3fNISAZ9boAABF2luTozk557.jpg,2019-12-11 15:05:19
10,海林都,48.81,1162.13,21,2.23,,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAEzX4AABzz0fHcFE563.jpg,http://images.entgroup.cn/group1/M00/05/29/wKgASV3bSPSAIsxcAAA43ilYZj4835.jpg,2019-12-11 15:05:19
11,其它,168.67,0.00,0,1.00,,,,2019-12-11 15:05:19
