RowNum,CinemaName,TodayBox,TodayShowCount,TodayAudienceCount,price,AvgPeople,Attendance
1,北京寰映合生汇店,160714.69,47,2672,60.15,56.85,43.032764
2,金逸北京大悦城IMAX店,120937.58,56,1957,61.80,34.95,19.347503
3,中都影城石家庄先天下店,110791.79,42,2933,37.77,69.83,41.900000
4,北京耀莱成龙影城（五棵松店）,104819.02,104,1864,56.23,17.92,8.656031
5,无锡电影大世界,94085.09,51,1953,48.17,38.29,31.032510
6,兰州盛唐西湖国际影城,93857.74,80,3142,29.87,39.28,48.651463
7,首都电影院西单店,77967.99,75,1526,51.09,20.35,14.143661
8,扬州泰博东方影城,73834.93,46,2220,33.26,48.26,32.082249
9,扬州东方影城,73408.00,43,2031,36.14,47.23,29.441487
10,无锡和平影城,71871.03,69,1561,46.04,22.62,26.886641
11,广州飞扬影城（正佳分店）,68497.06,61,1270,53.93,20.82,9.468269
12,洛阳格调电影工厂,68324.99,54,1303,52.44,24.13,19.414644
13,大竹县太平洋影城,67851.03,37,1136,59.73,30.70,37.811210
14,UME影城（北京双井店）,65999.00,56,1445,45.67,25.80,15.469767
15,南通奥邦东方影城,64811.08,35,1751,37.01,50.03,27.042471
16,广州中华广场电影城,62170.02,55,1373,45.28,24.96,15.493335
17,SFC上影影城（港汇恒隆永华店）,60883.26,66,1053,57.82,15.95,11.882193
18,武商摩尔国际电影城,60802.03,92,1769,34.37,19.23,12.553012
19,南京新街口国际影城,59861.74,97,1724,34.72,17.77,12.967219
20,昆明翠园国际影城,59505.98,39,2287,26.02,58.64,36.881148
21,淄博齐纳影城银座店,56918.01,78,1873,30.39,24.01,18.796728
22,上海百美汇影城静安嘉里中心店,55531.99,31,857,64.80,27.65,19.039367
23,武汉汉街万达广场店,55189.57,66,1492,36.99,22.61,15.511935
24,长沙市亿鑫国际影城万家丽店,54904.78,96,1003,54.74,10.45,13.664277
25,厦门当代影城,54591.99,51,1381,39.53,27.08,37.157367
26,深圳市中影南方激光影城(民治多米汇店),53215.94,33,1199,44.38,36.33,31.375935
27,水头华彩万星国际影城,52252.95,34,1323,39.50,38.91,32.211725
28,郴州潇湘国际影城,52234.95,28,1339,39.01,47.82,26.835818
29,上海国泰影院,52188.01,21,1227,42.53,58.43,30.014677
30,长沙潇湘国际影城天马店,52168.03,34,1535,33.99,45.15,19.976574
31,建湖金地国际影城,51813.04,40,1492,34.73,37.30,25.316742
32,哈尔滨市中影云幕影城,51501.99,23,1306,39.43,56.78,41.027896
33,深圳市万厅国际影城石岩店,51382.00,30,1156,44.45,38.53,34.404761
34,新余金逸影城,51284.39,33,1197,42.84,36.27,14.963996
35,长江湾深影橙天影城,51262.93,40,1151,44.54,28.78,22.083653
36,深圳市万明影城,51045.04,34,1146,44.54,33.71,25.828262
37,漳州华彩万星国际影城,50924.95,35,1283,39.69,36.66,27.424296
38,深圳百汇银河影城,50800.02,28,1136,44.72,40.57,43.742780
39,交城县当代影城,50793.96,40,1278,39.74,31.95,30.544933
40,晋中市当代影城,50730.96,44,1277,39.73,29.02,26.046037
41,永济鑫大影城,50505.12,43,1682,30.03,39.12,40.661412
42,深圳万厅国际影城,50483.12,63,1127,44.79,17.89,18.569780
43,建宁华彩万星国际影城,50469.99,27,1264,39.93,46.81,30.597918
44,深圳市逸达影城,50319.05,36,1121,44.89,31.14,33.482676
45,侯马九州影城,50010.05,15,1667,30.00,111.13,107.896440
46,上海百丽宫影城环贸iapm店,49359.00,35,680,72.59,19.43,11.144496
47,成都百丽宫影城远洋太古里店,49120.02,50,894,54.94,17.88,9.355813
48,兰州中心空间站IMAX影城,47519.90,55,1038,45.78,18.87,14.036511
49,广州飞扬影城,47448.01,53,996,47.64,18.79,8.488967
50,首都电影院昌平店,47019.03,53,1186,39.65,22.38,17.773914
51,星美影商城深圳京基IMAX店,46634.19,40,1152,40.48,28.80,27.465940
52,北京市金泉港国际影城,46598.02,108,902,51.66,8.35,6.338593
53,长沙潇湘佳福国际影城,45667.96,51,1816,25.15,35.61,30.896176
54,南昌红谷滩万达广场店,45659.78,69,1248,36.59,18.09,11.459528
55,金逸影城北京中关村店,45382.48,50,905,50.15,18.10,13.816793
56,深圳百老汇电影中心万象天地店,44683.99,49,793,56.35,16.18,8.872627
57,UME影城（北京华星店）,44470.01,44,986,45.10,22.41,11.896000
58,德州齐纳国际影城,43873.13,43,1454,30.17,33.81,29.735888
59,上海和平影都,43525.99,42,886,49.13,21.10,13.067846
60,中影国际影城海口上邦店,43461.99,69,1332,32.63,19.30,14.173529
61,卢米埃北京长楹天街IMAX影城,43422.99,49,796,54.55,16.24,7.601730
62,上海世纪友谊影城,43395.96,48,1008,43.05,21.00,16.061185
63,上海五角场万达广场店,43204.41,60,949,45.53,15.82,8.045782
64,金棕榈东尚国际影城,43144.07,62,978,44.11,15.77,15.094922
65,广州百丽宫影院天环店,42854.01,22,527,81.32,23.95,14.971590
66,中影国际影城武汉光谷天河店,42533.02,46,1332,31.93,28.96,14.406229
67,北京美嘉欢乐影城（三里屯店）,42195.00,43,617,68.39,14.35,7.196908
68,泰禾影城北京立水桥店,42159.17,70,1360,31.00,19.43,22.357389
69,南昌潇湘国际影城天虹酷加店,42006.02,36,1089,38.57,30.25,26.722614
70,武汉博纳国际电影城,41994.95,70,1222,34.37,17.46,11.982199
71,珠海市太平洋影城香洲店,41965.34,50,848,49.49,16.96,18.616904
72,广州市捷登都会飞扬影城,41469.98,92,1125,36.86,12.23,6.144854
73,北京通州万达广场店,41099.85,67,720,57.08,10.75,6.844757
74,UME影城（北京安贞店）,41084.03,74,875,46.95,11.82,9.261872
75,深圳市盛唐时代国际影城,40919.02,62,1046,39.12,16.87,18.871328
76,金逸北京荟聚IMAX店,40551.78,66,745,54.43,11.29,5.651646
77,深圳市万象影城罗湖万象城店,40348.60,76,649,62.17,8.54,5.427631
78,无锡百丽宫影城苏宁广场店,40201.97,53,1078,37.29,20.34,15.813117
79,星美影商城上海外高桥店,40078.00,16,1002,40.00,62.63,30.925925
80,清徐宏凯电影院,40076.00,26,1336,30.00,51.38,55.451023
81,北京嘉华国际影城,40020.01,47,940,42.57,20.00,9.950248
82,中影国际影城上海合生汇店,39989.20,56,872,45.86,15.57,10.133250
83,巨幕影城（武汉光谷广场资本大厦店）,39327.98,62,1234,31.87,19.90,9.340251
84,上海百丽宫影城长宁来福士店,39008.96,48,674,57.88,14.04,7.944365
85,淄博中影齐纳国际影城,39002.83,53,1284,30.38,24.23,13.079648
86,深圳保利国际影城,38532.99,56,915,42.11,16.34,6.382533
87,金逸武汉销品茂IMAX店,38470.05,58,1026,37.50,17.69,8.011619
88,橙天嘉禾影城上海LuOne凯德晶萃店,38469.02,40,632,60.87,15.80,12.153846
89,柳城县恒龙影城,38259.04,19,779,49.11,41.00,38.770685
90,淄博齐纳国际影城,38033.97,63,1315,28.92,20.87,14.992589
91,长沙横店潇湘王府井影城,37825.48,68,1085,34.86,15.96,10.066802
92,闻喜县九星影院,37715.93,24,758,49.76,31.58,64.455782
93,金逸天津大悦城IMAX店,37378.42,65,924,40.45,14.22,6.199469
94,长沙百丽宫影城国金店,37315.99,35,817,45.67,23.34,11.547703
95,长沙市大乐影城,36950.98,43,796,46.42,18.51,18.148654
96,上海百丽宫影城万象城店,36942.01,57,628,58.82,11.02,6.473292
97,深圳市CINESKY新天影院(壹方天地IMAX店),36577.07,60,834,43.86,13.90,7.187176
98,长沙市中影星美国际影城万家丽店,36510.99,97,1146,31.86,11.81,11.239247
99,铜陵美逸影城嘉华店,36083.82,37,845,42.70,22.84,11.315196
100,金逸上海龙之梦IMAX店,35947.30,65,671,53.57,10.32,5.712826
