IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,WomIndex
1,决胜时刻,288,7395,39,3,7,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdfyAJOANAANLBNk3a4w103.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdkiAcRb5AABr-vQ74Ck118.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdiiAeFOnAAA3MVwccbA710.jpg,-67,
2,小Q,122,8793,34,1,7,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdWGAdiZSAAH3FPdXrPs938.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2EdYaADFTSAABvdG6ZFQs379.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12EdaeASyysAAA0iqrZm7A810.jpg,-78,
3,诛仙Ⅰ,118,38143,36,1,14,http://images.entgroup.cn/group2/M00/02/90/wKgASl1_LnGAc4MdAAMs9OucdcQ719.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqALTt9AABu4FrjIZ0468.jpg,http://images.entgroup.cn/group1/M00/05/1A/wKgASV1mHNqAeLouAAA3sX12UeM982.jpg,-73,
4,小小的愿望,78,23987,34,1,15,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_L7-AF5i1AALZpSRR4ng320.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAYabGAABUUC-Am5o028.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11og0eAIMcEAAAuEZQvV-A794.jpg,-86,
5,友情以上,68,3643,32,1,7,,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAaCJ5AABon6ZX_Do432.jpg,http://images.entgroup.cn/group2/M00/02/88/wKgASl0epmOAO1O-AAA2zINC7mw258.jpg,-82,
6,罗小黑战记,62,29078,34,1,20,,http://images.entgroup.cn/group2/M00/02/8F/wKgAS11mHqCAGHWDAABueLHuiNk452.jpg,http://images.entgroup.cn/group2/M00/02/8F/wKgASl1mHouAA56QAAA5KzaPeio791.jpg,-73,
7,名侦探柯南：绀青之拳,55,22010,34,1,14,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1_LxqAHLJzAANQFihab18667.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuAY_kOAACRGpzxag8781.jpg,http://images.entgroup.cn/group1/M00/05/18/wKgASV1b1EuACCJBAABKOIGHX7s735.jpg,-69,
8,哪吒之魔童降世,38,493844,34,1,63,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,-80,
9,速度与激情：特别行动,34,142389,125,0,35,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,-75,
10,古田军号,22,3077,69,3,57,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,-41,
