RowNum,CinemaName,TodayBox,TodayShowCount,TodayAudienceCount,price,AvgPeople,Attendance
1,北京嘉华国际影城,145586.62,52,3361,43.32,64.63,32.156525
2,北京寰映合生汇店,142656.15,61,2447,58.30,40.11,30.364405
3,Jackie Chan北京耀莱,114587.29,110,2680,42.76,24.36,11.766528
4,首都电影院西单店,103263.02,78,2102,49.13,26.95,18.732971
5,保利万和国际影城（北京苹果园店）,103229.79,33,1802,57.29,54.61,27.860235
6,烽禾影城江门店,95885.82,35,3325,28.84,95.00,65.068493
7,CGV影城 北京清河店,93173.69,42,1433,65.02,34.12,18.586251
8,中影国际影城北京小西天店,90786.44,17,1985,45.74,116.76,71.634788
9,乌苏市幕纬空间MS国际影城,75501.00,30,2296,32.88,76.53,77.777777
10,北京市深影国际影城(四道口店),74435.17,42,1501,49.59,35.74,20.291324
11,金逸影城邢台天一城店,74116.15,56,863,85.88,15.41,11.538804
12,首都电影院昌平店,73887.82,48,2032,36.36,42.33,33.624569
13,北京海淀剧场,72959.40,11,1674,43.58,152.18,36.997200
14,大地影院烟台万行广场,67583.98,52,1882,35.91,36.19,22.637878
15,星美影商城北京金源IMAX店,66132.92,59,946,69.91,16.03,7.332575
16,金逸影城福州紫阳店,65196.58,68,1885,34.59,27.72,11.733582
17,CGV星星影城 北京奥体店,65127.32,42,1257,51.81,29.93,20.429058
18,武冈市乐洋电影院,64216.00,15,1396,46.00,93.07,68.683886
19,北京天幕新彩云影城,62698.84,47,1628,38.51,34.64,21.883401
20,马鞍山万达影城新天地店,61769.51,32,2138,28.89,66.81,45.230899
21,UME影城（北京安贞店）,60098.74,73,1127,53.33,15.44,12.092707
22,北京保利国际影城（马家堡店）,58226.10,39,1324,43.98,33.95,17.084185
23,SFC上影影城（上海影城）,56097.30,41,926,60.58,22.59,8.624483
24,杭州金象时代影城,55465.61,61,1371,40.46,22.48,15.020018
25,橙天嘉禾影城惠州华贸店,55273.13,65,1611,34.31,24.78,16.944112
26,北京新华国际影城(大钟寺店),54775.54,51,1432,38.25,28.08,18.232747
27,广州飞扬影城（正佳分店）,53556.34,61,1138,47.06,18.66,8.484165
28,英皇电影城-北京英皇中心,53232.97,47,961,55.39,20.45,17.718204
29,广州市百丽宫猎德影院,52682.54,45,783,67.28,17.40,10.553449
30,北京石景山万达广场店,52543.46,56,923,56.93,16.48,10.353104
31,北京博纳悠唐国际影城,52324.79,44,1055,49.60,23.98,14.151847
32,北京CBD万达广场店,50480.06,58,813,62.09,14.02,8.953525
33,UME影城（北京华星店）,50459.15,40,804,62.76,20.10,10.670205
34,北京市莱纳恒泰影城,50451.82,61,1222,41.29,20.03,14.839101
35,北京博纳顺景国际影城（顺义店）,50190.60,57,940,53.39,16.49,14.059017
36,保利国际影城北京天安门店,50057.46,54,1211,41.34,22.43,17.940740
37,北京剧院,49828.95,28,1288,38.69,46.00,27.334465
38,南京新街口国际影城,49628.86,101,1567,31.67,15.51,11.319545
39,中影国际影城武汉光谷天河店,49040.73,45,1623,30.22,36.07,17.943615
40,魔影国际影城北京金源店,47756.08,57,1362,35.06,23.89,22.780999
41,南昌市博纳国际影城,47657.21,39,1242,38.37,31.85,21.554080
42,上海大光明影院,46251.54,41,916,50.49,22.34,7.455438
43,北京市华联影院肖家河店,44968.80,35,1063,42.30,30.37,37.113762
44,UME影城（北京双井店）,44849.12,60,931,48.17,15.52,9.302557
45,中影国际影城北京昌平永旺店,44666.42,43,1163,38.41,27.05,16.111101
46,北京新华国际影城（良乡店）,44600.15,28,1189,37.51,42.46,36.797474
47,廊坊万达广场店,43601.16,57,936,46.58,16.42,10.890897
48,大兴区影剧院,43506.25,9,1313,33.13,145.89,30.563314
49,北京市华夏影城(安贞环宇荟店),43190.20,35,924,46.74,26.40,25.666666
50,晟嘉国际影城北京新华店,41557.64,91,799,52.01,8.78,11.733033
51,武汉汉街万达广场店,41437.96,72,1103,37.57,15.32,10.511970
52,北京耀莱成龙国际影城温泉镇店,41357.96,30,877,47.16,29.23,32.065813
53,博纳国际影城温州5050IMAX店,41243.64,53,1075,38.37,20.28,16.639063
54,武冈市新王城数字影院,40618.00,13,883,46.00,67.92,83.171114
55,首都电影院金融街店,40581.11,33,880,46.11,26.67,31.746031
56,丰台恒业国际影城六里桥店,40518.15,45,900,45.02,20.00,12.176560
57,南昌红谷滩万达广场店,39656.87,52,937,42.32,18.02,11.416619
58,CGV星星影城 北京颐堤港店,38615.75,38,572,67.51,15.05,10.807017
59,广州市视尚国际影城,37717.48,52,1178,32.02,22.65,18.455271
60,北京影协金鸡百花影城,37428.82,37,787,47.56,21.27,16.598873
61,CGV影城 宿迁西湖店,36981.87,41,1217,30.39,29.68,13.751190
62,中数华昇巨幕影城广州萝岗店,36638.30,30,952,38.49,31.73,17.281597
63,红星太平洋影城北京太阳宫店,36511.60,57,794,45.98,13.93,8.493795
64,兰州中心空间站IMAX影城,36089.67,56,741,48.70,13.23,9.841350
65,重庆万达影城大融城店,35998.95,67,1158,31.09,17.28,14.840592
66,海口万达影城海航日月广场店,35852.77,46,825,43.46,17.93,12.423896
67,北京博纳国际影城（方庄店）,35286.39,59,902,39.12,15.29,13.315082
68,橙天嘉禾影城深圳卓悦汇店,34712.14,50,686,50.60,13.72,8.923577
69,金逸福州宝龙IMAX店,34583.54,92,733,47.18,7.97,4.518369
70,厦门万达影城SM广场店,34580.14,44,635,54.46,14.43,8.140429
71,福清万达广场店,34525.87,34,673,51.30,19.79,13.251292
72,CGV影城 福州东二环店,34128.53,65,702,48.62,10.80,5.505097
73,南京万达影城六合欢乐港店,34086.13,35,820,41.57,23.43,19.918020
74,武汉横店影视电影城,34086.10,77,1408,24.21,18.29,15.398496
75,CGV影城 深圳壹方城店,33931.95,70,504,67.33,7.20,4.127149
76,北京万达影城天通苑龙德广场店,33883.16,50,580,58.42,11.60,5.318390
77,金逸影城北京中关村店,33605.77,48,735,45.72,15.31,11.688931
78,北京通州万达广场店,33564.69,65,582,57.67,8.95,5.703086
79,幸福蓝海国际影城南通圆融店,33484.83,48,984,34.03,20.50,11.096075
80,北京市耀莱成龙国际影城龙湖盛茂广场店,33371.68,44,689,48.43,15.66,12.017721
81,幸福蓝海国际影城烟台大悦城店,33321.76,46,772,43.16,16.78,8.231252
82,长春寰映影城摩天活力城店,33073.08,45,907,36.46,20.16,9.423376
83,广州白云万达广场店,33007.23,45,640,51.57,14.22,8.333333
84,CGV影城 上海白玉兰广场店,32586.29,53,459,70.99,8.66,5.542641
85,广州中华广场电影城,32441.99,54,847,38.30,15.69,9.734792
86,长沙市中影星美国际影城万家丽店,32346.61,91,1102,29.35,12.11,11.520320
87,北京博纳国际影城亚运村店,32323.04,34,780,41.44,22.94,24.405506
88,金逸北京大悦城IMAX店,32313.10,52,515,62.74,9.90,5.483098
89,杭州新远国际影城,32200.78,62,731,44.05,11.79,9.698980
90,上海DFC影城（宝山店）,32175.58,65,888,36.23,13.66,9.499548
91,瑞安冠旭电影城,32166.04,50,1011,31.82,20.22,21.489855
92,北京保利国际影城大兴金星店,32158.70,45,822,39.12,18.27,10.543530
93,北京万达影城昌平保利光魔店,32123.55,22,903,35.57,41.05,25.573491
94,SFC上影影城（北京大兴龙湖店）,32118.18,47,676,47.51,14.38,7.447497
95,博纳国际影城惠州龙光城店,32044.81,27,1090,29.40,40.37,24.246468
96,上海和平影都,32043.20,46,683,46.92,14.85,9.197768
97,北京搜秀影城,31961.85,32,756,42.28,23.63,16.996402
98,沧州星梦国际影城,31799.65,40,1059,30.03,26.48,15.619469
99,成都太平洋电影城,31630.51,72,913,34.64,12.68,10.358935
100,北京市门头沟影剧院,31546.40,4,940,33.56,235.00,17.669172
